TICKER,YEAR,CALENDAR_YEAR,PERIOD,CASH_AND_EQUIVALENTS,SHORT_TERM_INVESTMENTS,CASH_AND_SHORT_TERM_INVESTMENTS,NET_RECEIVABLES,INVENTORY,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PROPERTY_PLANT_EQUIPMENTNET,GOODWILL,INTANGIBLE_ASSETS,GOOD_WILL_AND_INTANGIBLE_ASSETS,LONG_TERM_INVESTMENTS,TAX_ASSETS,OTHER_NON_CURRENT_ASSETS,TOTAL_NON_CURRENT_ASSETS,OTHER_ASSETS,TOTAL_ASSETS,ACCOUNTS_PAYABLES,SHORT_TERM_DEBT,TAX_PAYABLES,DEFERRED_REVENUE,OTHER_CURRENT_LIABILITIES,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,DEFERRED_REVENUE_NONCURRENT,DEFERRED_TAX_LIABILITIES_NONCURRENT,OTHER_NONCURRENT_LIABILITIES,TOTAL_NONCURRENT_LIABILITIES,OTHER_LIABILITIES,CAPITAL_LEASE_OBLIGATIONS,TOTAL_LIABILITIES,PREFERRED_STOCK,COMMON_STOCK,RETAINED_EARNINGS,ACCUMULATED_OTHER_COMPREHENSIVE_INCOME,OTHER_TOTAL_STOCKHOLDERS_EQUITY,TOTAL_STOCKHOLDERS_EQUITY,TOTAL_EQUITY,TOTAL_LIABILITIES_AND_STOCKHOLDERS_EQUITY,MINORITY_INTEREST,TOTAL_LIABILITIES_AND_TOTAL_EQUITY,TOTAL_INVESTMENTS,TOTAL_DEBT,NET_DEBT
JNJ,2023,2022,FY,14127000000,9392000000,23519000000,19292000000,12483000000,3132000000,55294000000,19803000000,45231000000,48325000000,93556000000,0,9123000000,9602000000,132084000000,0,187378000000,11703000000,12771000000,2127000000,0,31328000000,55802000000,26888000000,0,6374000000,30298000000,54772000000,0,0,110574000000,0,3120000000,128345000000,-12967000000,-41694000000,76804000000,76804000000,187378000000,0,187378000000,9392000000,39659000000,25532000000
JNJ,2022,2021,FY,14487000000,17121000000,31608000000,15283000000,10387000000,3701000000,60979000000,18962000000,35246000000,46392000000,81638000000,0,10223000000,10216000000,121039000000,0,182018000000,11055000000,3766000000,1112000000,0,30405000000,45226000000,29985000000,0,7487000000,47948000000,62769000000,0,0,107995000000,0,3120000000,123060000000,-13058000000,-39099000000,74023000000,74023000000,182018000000,0,182018000000,17121000000,33751000000,19264000000
JNJ,2021,2020,FY,13985000000,11200000000,25185000000,13576000000,9344000000,0,51237000000,18766000000,36393000000,53402000000,89795000000,0,8534000000,6562000000,123657000000,0,174894000000,9505000000,2631000000,1392000000,0,30357000000,42493000000,32635000000,0,7214000000,56987000000,69123000000,0,0,111616000000,0,3120000000,113890000000,-15242000000,-38490000000,63278000000,63278000000,174894000000,0,174894000000,11200000000,35266000000,21281000000
JNJ,2019,2019,FY,17305000000,1982000000,19287000000,14481000000,9020000000,0,45274000000,17658000000,33639000000,47643000000,81282000000,0,7819000000,5695000000,112454000000,0,157728000000,8544000000,1202000000,2266000000,0,26218000000,35964000000,26494000000,0,5958000000,52547000000,62293000000,0,0,98257000000,0,3120000000,110659000000,-15891000000,-38417000000,59471000000,59471000000,157728000000,0,157728000000,1982000000,27696000000,10391000000
JNJ,2018,2018,FY,6016000000,13671000000,19687000000,14098000000,8599000000,3649000000,46033000000,17035000000,30453000000,47611000000,78064000000,0,7506000000,4316000000,106921000000,0,152954000000,7537000000,2796000000,818000000,7640000000,12439000000,31230000000,27684000000,0,7506000000,26782000000,61972000000,0,0,93202000000,0,3120000000,106216000000,-15222000000,-34362000000,59752000000,59752000000,152954000000,0,152954000000,0,30480000000,24464000000
JNJ,2017,2016,FY,9166000000,32741000000,41907000000,11699000000,8144000000,3282000000,65032000000,15912000000,22805000000,26876000000,49681000000,0,2910000000,7673000000,76176000000,0,141208000000,6918000000,4684000000,971000000,6148000000,7566000000,26287000000,22442000000,0,2910000000,19151000000,44503000000,0,0,70790000000,0,3120000000,110551000000,-14901000000,-28352000000,70418000000,70418000000,141208000000,0,141208000000,0,27126000000,17960000000
JNJ,2016,2015,FY,5687000000,32689000000,38376000000,10734000000,8053000000,3047000000,60210000000,15905000000,21629000000,25764000000,47393000000,0,2562000000,7341000000,73201000000,0,133411000000,6668000000,7004000000,750000000,5490000000,7835000000,27747000000,12857000000,0,2562000000,19095000000,34514000000,0,0,62261000000,0,3120000000,103879000000,-13165000000,-22684000000,71150000000,71150000000,133411000000,0,133411000000,0,19861000000,14174000000
JNJ,2014,2014,FY,3688000000,29401000000,33089000000,10985000000,8184000000,7053000000,59311000000,16126000000,21832000000,27222000000,49054000000,0,3154000000,3474000000,71808000000,0,131119000000,7633000000,3638000000,500000000,3567000000,9747000000,25085000000,15122000000,0,3154000000,18006000000,36282000000,0,0,61367000000,0,3120000000,97245000000,-10722000000,-19891000000,69752000000,69752000000,131119000000,0,131119000000,0,18760000000,15072000000
JNJ,2013,2013,FY,4675000000,24531000000,29206000000,11713000000,7878000000,7610000000,56407000000,16710000000,22798000000,27947000000,50745000000,0,3989000000,4832000000,76276000000,0,132683000000,6266000000,4852000000,770000000,3607000000,10180000000,25675000000,13328000000,0,3989000000,15638000000,32955000000,0,0,58630000000,0,3120000000,89493000000,-2860000000,-15700000000,74053000000,74053000000,132683000000,0,132683000000,0,18180000000,13505000000
JNJ,2012,2011,FY,4299000000,27962000000,32261000000,10581000000,6285000000,5189000000,54316000000,14739000000,16138000000,18138000000,34276000000,0,1800000000,8513000000,59328000000,0,113644000000,5725000000,6658000000,854000000,2556000000,7018000000,22811000000,12969000000,0,1800000000,18984000000,33753000000,0,0,56564000000,0,3120000000,81251000000,-5632000000,-21659000000,57080000000,57080000000,113644000000,0,113644000000,0,19627000000,15328000000
JNJ,2011,2010,FY,4428000000,23230000000,27658000000,9774000000,5378000000,4497000000,47307000000,14553000000,15294000000,16716000000,32010000000,0,1447000000,7591000000,55601000000,0,102908000000,5623000000,7617000000,578000000,2224000000,7030000000,23072000000,9156000000,0,0,14101000000,23257000000,0,0,46329000000,0,3120000000,77773000000,-3531000000,-20783000000,56579000000,56579000000,102908000000,0,102908000000,0,16773000000,12345000000
JNJ,2010,2009,FY,4407000000,15018000000,19425000000,9646000000,5180000000,5290000000,39541000000,14759000000,14862000000,16323000000,31185000000,0,1424000000,7773000000,55141000000,0,94682000000,5541000000,6318000000,442000000,2793000000,6637000000,21731000000,8223000000,0,0,14140000000,22363000000,0,0,44094000000,0,3120000000,70306000000,-3058000000,-19780000000,50588000000,50588000000,94682000000,0,94682000000,0,14541000000,10134000000
JNJ,2008,2008,FY,10768000000,2041000000,12809000000,9719000000,5052000000,6797000000,34377000000,14365000000,13719000000,13976000000,27695000000,4000000,1432000000,7039000000,50535000000,0,84912000000,7503000000,3732000000,417000000,3430000000,5770000000,20852000000,8120000000,0,0,13429000000,21549000000,0,0,42401000000,0,3120000000,63379000000,-4955000000,-19033000000,42511000000,42511000000,84912000000,0,84912000000,2045000000,11852000000,1084000000
JNJ,2007,2007,FY,7770000000,1545000000,9315000000,9444000000,5110000000,6076000000,29945000000,14185000000,14123000000,14640000000,28763000000,0,1493000000,6568000000,51009000000,0,80954000000,6909000000,2463000000,0,2609000000,7856000000,19837000000,7074000000,0,0,10724000000,17798000000,0,0,37635000000,0,3120000000,55280000000,-693000000,-14388000000,43319000000,43319000000,80954000000,0,80954000000,0,9537000000,1767000000
JNJ,2006,2005,FY,16055000000,83000000,16138000000,7010000000,3959000000,4287000000,31394000000,10830000000,5990000000,6185000000,12175000000,0,211000000,3415000000,26631000000,0,58025000000,4315000000,668000000,0,0,7652000000,12635000000,2017000000,0,0,5502000000,7519000000,0,0,20154000000,0,3120000000,41471000000,-755000000,-5965000000,37871000000,37871000000,58025000000,0,58025000000,0,2685000000,-13370000000
JNJ,2005,2004,FY,9203000000,3681000000,12884000000,6831000000,3744000000,3861000000,27320000000,10436000000,5863000000,5979000000,11842000000,0,403000000,3316000000,25997000000,0,53317000000,5227000000,280000000,0,0,8420000000,13927000000,2565000000,0,0,5012000000,7577000000,0,0,21504000000,0,3120000000,35223000000,-526000000,-6004000000,31813000000,31813000000,53317000000,0,53317000000,0,2845000000,-6358000000
JNJ,2003,2003,FY,5377000000,4146000000,9523000000,6574000000,3588000000,3310000000,22995000000,9846000000,5390000000,6149000000,11539000000,0,780000000,3103000000,25268000000,0,48263000000,4966000000,1139000000,0,0,7343000000,13448000000,2955000000,0,0,4991000000,7946000000,0,0,21394000000,0,3120000000,30503000000,-608000000,-6146000000,26869000000,26869000000,48263000000,0,48263000000,0,4094000000,-1283000000
