TICKER,YEAR,CALENDAR_YEAR,PERIOD,CASH_AND_EQUIVALENTS,SHORT_TERM_INVESTMENTS,CASH_AND_SHORT_TERM_INVESTMENTS,NET_RECEIVABLES,INVENTORY,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PROPERTY_PLANT_EQUIPMENTNET,GOODWILL,INTANGIBLE_ASSETS,GOOD_WILL_AND_INTANGIBLE_ASSETS,LONG_TERM_INVESTMENTS,TAX_ASSETS,OTHER_NON_CURRENT_ASSETS,TOTAL_NON_CURRENT_ASSETS,OTHER_ASSETS,TOTAL_ASSETS,ACCOUNTS_PAYABLES,SHORT_TERM_DEBT,TAX_PAYABLES,DEFERRED_REVENUE,OTHER_CURRENT_LIABILITIES,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,DEFERRED_REVENUE_NONCURRENT,DEFERRED_TAX_LIABILITIES_NONCURRENT,OTHER_NONCURRENT_LIABILITIES,TOTAL_NONCURRENT_LIABILITIES,OTHER_LIABILITIES,CAPITAL_LEASE_OBLIGATIONS,TOTAL_LIABILITIES,PREFERRED_STOCK,COMMON_STOCK,RETAINED_EARNINGS,ACCUMULATED_OTHER_COMPREHENSIVE_INCOME,OTHER_TOTAL_STOCKHOLDERS_EQUITY,TOTAL_STOCKHOLDERS_EQUITY,TOTAL_EQUITY,TOTAL_LIABILITIES_AND_STOCKHOLDERS_EQUITY,MINORITY_INTEREST,TOTAL_LIABILITIES_AND_TOTAL_EQUITY,TOTAL_INVESTMENTS,TOTAL_DEBT,NET_DEBT
KO,2022,2022,FY,9519000000,2112000000,11631000000,3487000000,4233000000,3240000000,22591000000,9841000000,18782000000,14849000000,33631000000,18765000000,1746000000,6189000000,70172000000,0,92763000000,15749000000,2772000000,1203000000,0,1203000000,19724000000,36377000000,0,2914000000,28692000000,47213000000,0,0,66937000000,0,1760000000,71019000000,-14895000000,-33779000000,24105000000,24105000000,92763000000,0,92763000000,20877000000,39149000000,29630000000
KO,2021,2021,FY,9684000000,2941000000,12625000000,3512000000,3414000000,2994000000,22545000000,9920000000,19363000000,15250000000,34613000000,18416000000,2129000000,6731000000,71809000000,0,94354000000,14619000000,4645000000,686000000,0,686000000,19950000000,38116000000,0,2821000000,30280000000,49544000000,0,0,69494000000,0,1760000000,69094000000,-14330000000,-33525000000,22999000000,22999000000,94354000000,0,94354000000,21357000000,42761000000,33077000000
KO,2020,2020,FY,6795000000,4119000000,10914000000,3144000000,3266000000,1916000000,19240000000,10777000000,17506000000,11044000000,28550000000,20085000000,2460000000,6184000000,68056000000,0,87296000000,11145000000,2668000000,788000000,0,788000000,14601000000,40125000000,0,1833000000,37598000000,51411000000,0,0,66012000000,0,1760000000,66555000000,-14601000000,-34415000000,19299000000,19299000000,87296000000,0,87296000000,24204000000,42793000000,35998000000
KO,2019,2019,FY,6480000000,4695000000,11175000000,3971000000,3379000000,1886000000,20411000000,10838000000,16764000000,10002000000,26766000000,19879000000,2412000000,6075000000,65970000000,0,86381000000,11312000000,15247000000,414000000,0,414000000,26973000000,27516000000,0,2284000000,11751000000,38310000000,0,0,65283000000,0,1760000000,65810000000,-13499000000,-35090000000,18981000000,18981000000,86381000000,0,86381000000,24574000000,42763000000,36283000000
KO,2018,2018,FY,8926000000,7038000000,15964000000,3396000000,2766000000,8508000000,30634000000,8232000000,10263000000,7007000000,17270000000,20274000000,2667000000,4139000000,52582000000,0,83216000000,2498000000,18191000000,693000000,0,8534000000,29223000000,25364000000,0,1933000000,7638000000,34935000000,0,0,64158000000,0,1760000000,63234000000,-12814000000,-35199000000,16981000000,16981000000,81139000000,0,81139000000,27312000000,43555000000,34629000000
KO,2017,2017,FY,6006000000,14669000000,20675000000,3667000000,2655000000,9548000000,36545000000,8203000000,9401000000,7235000000,16636000000,21952000000,0,4560000000,51351000000,0,87896000000,2288000000,16503000000,757000000,0,8403000000,27194000000,31182000000,0,2522000000,8021000000,41725000000,0,0,68919000000,0,1760000000,60430000000,-10305000000,-34813000000,17072000000,17072000000,85991000000,0,85991000000,36621000000,47685000000,41679000000
KO,2016,2016,FY,8555000000,13646000000,22201000000,3856000000,2675000000,5278000000,34010000000,10635000000,10629000000,10499000000,21128000000,17249000000,0,4248000000,53260000000,0,87270000000,2682000000,16025000000,679000000,0,7825000000,26532000000,29684000000,0,3753000000,4081000000,37518000000,0,0,64050000000,0,1760000000,65502000000,-11205000000,-32995000000,23062000000,23062000000,87112000000,0,87112000000,30895000000,45709000000,37154000000
KO,2015,2015,FY,7309000000,12591000000,19900000000,3941000000,2902000000,6652000000,33395000000,12571000000,11289000000,12843000000,24132000000,15788000000,0,4207000000,56698000000,0,90093000000,2795000000,15806000000,775000000,0,8329000000,26930000000,28407000000,0,4691000000,4301000000,37399000000,0,0,64329000000,0,1760000000,65018000000,-10174000000,-31050000000,25554000000,25554000000,89883000000,0,89883000000,28379000000,44213000000,36904000000
KO,2014,2014,FY,8958000000,12717000000,21675000000,4466000000,3100000000,3745000000,32986000000,14633000000,12100000000,14272000000,26372000000,13625000000,0,4407000000,59037000000,0,92023000000,2089000000,22682000000,911000000,0,7603000000,32374000000,19063000000,0,5636000000,4389000000,29088000000,0,0,61462000000,0,1760000000,63408000000,-5777000000,-29071000000,30320000000,30320000000,91782000000,0,91782000000,26342000000,41745000000,32787000000
KO,2013,2013,FY,10414000000,9854000000,20268000000,4873000000,3277000000,2886000000,31304000000,14967000000,12312000000,15299000000,27611000000,11512000000,0,4661000000,58751000000,0,90055000000,1933000000,17925000000,759000000,0,7953000000,27811000000,19154000000,0,6152000000,3498000000,28804000000,0,0,56615000000,0,1760000000,61660000000,-3432000000,-26815000000,33173000000,33173000000,89788000000,0,89788000000,21366000000,37079000000,26665000000
