TICKER,YEAR,CALENDAR_YEAR,PERIOD,CASH_AND_EQUIVALENTS,SHORT_TERM_INVESTMENTS,CASH_AND_SHORT_TERM_INVESTMENTS,NET_RECEIVABLES,INVENTORY,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PROPERTY_PLANT_EQUIPMENTNET,GOODWILL,INTANGIBLE_ASSETS,GOOD_WILL_AND_INTANGIBLE_ASSETS,LONG_TERM_INVESTMENTS,TAX_ASSETS,OTHER_NON_CURRENT_ASSETS,TOTAL_NON_CURRENT_ASSETS,OTHER_ASSETS,TOTAL_ASSETS,ACCOUNTS_PAYABLES,SHORT_TERM_DEBT,TAX_PAYABLES,DEFERRED_REVENUE,OTHER_CURRENT_LIABILITIES,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,DEFERRED_REVENUE_NONCURRENT,DEFERRED_TAX_LIABILITIES_NONCURRENT,OTHER_NONCURRENT_LIABILITIES,TOTAL_NONCURRENT_LIABILITIES,OTHER_LIABILITIES,CAPITAL_LEASE_OBLIGATIONS,TOTAL_LIABILITIES,PREFERRED_STOCK,COMMON_STOCK,RETAINED_EARNINGS,ACCUMULATED_OTHER_COMPREHENSIVE_INCOME,OTHER_TOTAL_STOCKHOLDERS_EQUITY,TOTAL_STOCKHOLDERS_EQUITY,TOTAL_EQUITY,TOTAL_LIABILITIES_AND_STOCKHOLDERS_EQUITY,MINORITY_INTEREST,TOTAL_LIABILITIES_AND_TOTAL_EQUITY,TOTAL_INVESTMENTS,TOTAL_DEBT,NET_DEBT
MA,2022,2022,FY,7008000000,400000000,7408000000,3425000000,0,3616000000,16606000000,2006000000,7522000000,3859000000,11381000000,1730000000,1151000000,5850000000,22118000000,0,38724000000,926000000,274000000,279000000,1568000000,11403000000,14171000000,13749000000,393000000,393000000,15408000000,18176000000,0,0,32347000000,0,0,53607000000,-1253000000,-46056000000,6298000000,6298000000,38724000000,0,38724000000,2130000000,14023000000,7015000000
MA,2021,2021,FY,7421000000,473000000,7894000000,4325000000,0,2271000000,16949000000,1907000000,7662000000,3671000000,11333000000,1834000000,486000000,5160000000,20720000000,0,37669000000,738000000,792000000,337000000,1873000000,9759000000,13162000000,13109000000,0,395000000,13692000000,17095000000,0,0,30257000000,0,0,45648000000,-809000000,-37527000000,7312000000,7312000000,37669000000,0,37669000000,2307000000,13901000000,6480000000
MA,2020,2020,FY,10113000000,483000000,10596000000,4352000000,0,1883000000,19113000000,1902000000,4960000000,1753000000,6713000000,1172000000,491000000,4193000000,14471000000,0,33584000000,527000000,649000000,208000000,0,10671000000,11847000000,12023000000,0,86000000,14044000000,15220000000,0,0,27067000000,0,0,38747000000,-680000000,-31676000000,6391000000,6391000000,33584000000,0,33584000000,1655000000,12672000000,2559000000
MA,2019,2019,FY,6988000000,688000000,7676000000,5509000000,0,1763000000,16902000000,1828000000,4021000000,1417000000,5438000000,914000000,543000000,3611000000,12334000000,0,29236000000,489000000,0,332000000,0,11415000000,11904000000,8527000000,0,85000000,10852000000,11341000000,0,0,23245000000,0,0,33984000000,-673000000,-27418000000,5893000000,5893000000,29236000000,0,29236000000,1602000000,8527000000,1539000000
MA,2018,2018,FY,6682000000,1696000000,8378000000,4728000000,0,3065000000,16171000000,921000000,2904000000,991000000,3895000000,337000000,570000000,2966000000,8689000000,0,24860000000,537000000,500000000,0,0,10556000000,11593000000,5834000000,0,67000000,1948000000,7849000000,0,0,19442000000,0,0,27283000000,-718000000,-21170000000,5395000000,5395000000,24837000000,0,24837000000,2033000000,6334000000,-348000000
MA,2017,2017,FY,5933000000,1849000000,7782000000,3344000000,0,2671000000,13797000000,829000000,3035000000,1120000000,4155000000,249000000,250000000,2049000000,7532000000,0,21329000000,933000000,0,0,0,7860000000,8793000000,5424000000,0,106000000,1509000000,7039000000,0,0,15832000000,0,0,22364000000,-497000000,-16399000000,5468000000,5468000000,21300000000,0,21300000000,2098000000,7273000000,1340000000
MA,2016,2016,FY,6721000000,1614000000,8335000000,2509000000,0,2384000000,13228000000,733000000,1756000000,722000000,2478000000,132000000,307000000,1797000000,5447000000,0,18675000000,609000000,0,0,0,6597000000,7206000000,5180000000,0,81000000,524000000,5785000000,0,0,12991000000,0,0,19418000000,-924000000,-12838000000,5656000000,5656000000,18647000000,0,18647000000,1746000000,6794000000,73000000
MA,2015,2015,FY,5747000000,991000000,6738000000,2147000000,0,2100000000,10985000000,675000000,1891000000,803000000,2694000000,166000000,317000000,1432000000,5284000000,0,16269000000,472000000,0,0,0,5797000000,6269000000,3287000000,0,79000000,572000000,3938000000,0,0,10207000000,0,0,16222000000,-676000000,-9518000000,6028000000,6028000000,16235000000,0,16235000000,1157000000,4278000000,-1469000000
MA,2014,2014,FY,5137000000,1168000000,6305000000,2161000000,0,2531000000,10997000000,615000000,1522000000,714000000,2236000000,245000000,96000000,1140000000,4332000000,0,15329000000,419000000,0,0,0,5803000000,6222000000,1494000000,0,115000000,674000000,2283000000,0,0,8505000000,0,0,13169000000,-260000000,-6119000000,6790000000,6790000000,15295000000,0,15295000000,1413000000,2662000000,-2475000000
MA,2013,2013,FY,3599000000,2696000000,6295000000,2317000000,0,2338000000,10950000000,526000000,1122000000,672000000,1794000000,240000000,70000000,662000000,3292000000,0,14242000000,338000000,0,0,0,5694000000,6032000000,0,0,117000000,598000000,715000000,0,0,6747000000,0,0,10121000000,178000000,-2815000000,7484000000,7484000000,14231000000,0,14231000000,2936000000,0,-3599000000
MA,2012,2012,FY,2052000000,2987000000,5039000000,2205000000,0,2113000000,9357000000,472000000,1092000000,672000000,1764000000,281000000,60000000,528000000,3105000000,0,12462000000,357000000,0,0,0,4549000000,4906000000,0,0,104000000,523000000,627000000,0,0,5533000000,0,0,7354000000,61000000,-498000000,6917000000,6917000000,12450000000,0,12450000000,3268000000,0,-2052000000
MA,2011,2011,FY,3734000000,1215000000,4949000000,1409000000,0,1383000000,7741000000,449000000,1014000000,665000000,1679000000,106000000,88000000,630000000,2952000000,0,10693000000,360000000,0,0,0,3857000000,4217000000,0,0,113000000,486000000,599000000,0,0,4816000000,0,0,4745000000,-2000000,1125000000,5868000000,5868000000,10684000000,0,10684000000,1321000000,0,-3734000000
