TICKER,YEAR,CALENDAR_YEAR,PERIOD,CASH_AND_EQUIVALENTS,SHORT_TERM_INVESTMENTS,CASH_AND_SHORT_TERM_INVESTMENTS,NET_RECEIVABLES,INVENTORY,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PROPERTY_PLANT_EQUIPMENTNET,GOODWILL,INTANGIBLE_ASSETS,GOOD_WILL_AND_INTANGIBLE_ASSETS,LONG_TERM_INVESTMENTS,TAX_ASSETS,OTHER_NON_CURRENT_ASSETS,TOTAL_NON_CURRENT_ASSETS,OTHER_ASSETS,TOTAL_ASSETS,ACCOUNTS_PAYABLES,SHORT_TERM_DEBT,TAX_PAYABLES,DEFERRED_REVENUE,OTHER_CURRENT_LIABILITIES,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,DEFERRED_REVENUE_NONCURRENT,DEFERRED_TAX_LIABILITIES_NONCURRENT,OTHER_NONCURRENT_LIABILITIES,TOTAL_NONCURRENT_LIABILITIES,OTHER_LIABILITIES,CAPITAL_LEASE_OBLIGATIONS,TOTAL_LIABILITIES,PREFERRED_STOCK,COMMON_STOCK,RETAINED_EARNINGS,ACCUMULATED_OTHER_COMPREHENSIVE_INCOME,OTHER_TOTAL_STOCKHOLDERS_EQUITY,TOTAL_STOCKHOLDERS_EQUITY,TOTAL_EQUITY,TOTAL_LIABILITIES_AND_STOCKHOLDERS_EQUITY,MINORITY_INTEREST,TOTAL_LIABILITIES_AND_TOTAL_EQUITY,TOTAL_INVESTMENTS,TOTAL_DEBT,NET_DEBT
MCO,2022,2022,FY,1769000000,90000000,1859000000,1652000000,0,4094000000,4094000000,848000000,5839000000,2210000000,8049000000,517000000,266000000,575000000,10255000000,0,14349000000,52000000,106000000,86000000,1258000000,959000000,2375000000,368000000,75000000,457000000,7869000000,9285000000,2689000000,474000000,14349000000,0,3000000,13618000000,-643000000,-10459000000,2519000000,2519000000,14349000000,0,14349000000,607000000,474000000,-1295000000
MCO,2021,2021,FY,1811000000,91000000,1902000000,1720000000,0,177000000,4011000000,785000000,5999000000,2467000000,8466000000,443000000,384000000,591000000,10669000000,0,14680000000,47000000,105000000,115000000,1349000000,995000000,2496000000,560000000,86000000,488000000,7767000000,9268000000,0,560000000,11764000000,0,3000000,12762000000,-410000000,-9439000000,2916000000,2916000000,14869000000,0,14869000000,534000000,560000000,-1251000000
MCO,2020,2020,FY,2597000000,99000000,2696000000,1430000000,0,167000000,4509000000,671000000,4556000000,1824000000,6380000000,135000000,334000000,380000000,7900000000,0,12409000000,39000000,94000000,128000000,1131000000,958000000,2222000000,521000000,98000000,404000000,7160000000,8424000000,0,521000000,10646000000,0,3000000,11011000000,-432000000,-8819000000,1763000000,1763000000,12603000000,0,12603000000,234000000,521000000,-2076000000
MCO,2019,2019,FY,1832000000,98000000,1930000000,1419000000,0,180000000,3679000000,748000000,3722000000,1498000000,5220000000,117000000,229000000,272000000,6586000000,0,10265000000,38000000,89000000,73000000,1078000000,707000000,1912000000,574000000,112000000,357000000,6317000000,7522000000,0,574000000,9434000000,0,3000000,9656000000,-439000000,-8389000000,831000000,831000000,10490000000,0,10490000000,215000000,574000000,-1258000000
MCO,2018,2018,FY,1685000000,132500000,1817500000,1287100000,0,282300000,3386900000,320400000,3781300000,1566100000,5347400000,104600000,197200000,169700000,6139300000,0,9526200000,30100000,449900000,71400000,973800000,644700000,2098500000,5226100000,122300000,351700000,5317400000,6771200000,0,0,8869700000,0,3400000,8594400000,-426300000,-7711600000,459900000,459900000,9526200000,0,9526200000,237100000,5676000000,3991000000
MCO,2017,2017,FY,1071500000,111800000,1183300000,1147200000,0,250100000,2580600000,325100000,3753200000,1631600000,5384800000,99100000,143800000,60800000,6013600000,0,8594200000,21800000,429400000,79200000,905800000,706300000,2063300000,5111100000,140000000,341600000,5288800000,6645800000,0,0,8709100000,0,3400000,7465400000,-172200000,-7624300000,-327700000,-327700000,8594200000,0,8594200000,210900000,5540500000,4469000000
MCO,2016,2016,FY,2051500000,173400000,2224900000,887400000,0,140800000,3253100000,325900000,1023600000,296400000,1320000000,26300000,316100000,85900000,2074200000,0,5327300000,28400000,300000000,16800000,712300000,1387500000,2428200000,3063000000,134100000,104300000,2885700000,3926400000,0,0,6354600000,0,3400000,6688900000,-364900000,-7552400000,-1225000000,-1225000000,5327300000,0,5327300000,199700000,3363000000,1311500000
MCO,2015,2015,FY,1757400000,474800000,2232200000,802000000,0,208900000,3243100000,306400000,976300000,299100000,1275400000,28700000,137700000,132100000,1880300000,0,5123400000,22200000,0,11500000,659800000,536500000,1218500000,3401000000,132500000,83800000,3555900000,4237900000,0,0,5456400000,0,3400000,6709000000,-339500000,-6937900000,-565000000,-565000000,5123400000,0,5123400000,503500000,3401000000,1643600000
MCO,2014,2014,FY,1219500000,458100000,1677600000,792400000,0,216400000,2686400000,302300000,1021100000,345500000,1366600000,21600000,167800000,124300000,1982600000,0,4669000000,19400000,0,16100000,641600000,538700000,1199700000,2547300000,132200000,95700000,2765400000,3426400000,0,0,4626100000,0,3400000,6044300000,-235200000,-6000300000,-187800000,-187800000,4669000000,0,4669000000,479700000,2547300000,1327800000
MCO,2013,2013,FY,1919500000,186800000,2106300000,694200000,0,168300000,2968800000,278700000,665200000,221600000,886800000,37500000,148700000,74600000,1426300000,0,4395100000,16400000,0,47500000,620100000,504800000,1141300000,2101800000,109200000,59100000,2189400000,2825900000,0,0,3967200000,0,3400000,5302100000,-54600000,-4913900000,337000000,337000000,4395100000,0,4395100000,224300000,2101800000,182300000
MCO,2012,2012,FY,1755400000,17900000,1773300000,621800000,0,130600000,2525700000,307100000,637100000,226500000,863600000,38300000,168500000,57700000,1435200000,0,3960900000,14300000,63800000,56100000,567300000,519500000,1164900000,1607400000,94900000,58100000,1681700000,2327100000,0,0,3492000000,0,3400000,4713300000,-82100000,-4249400000,385200000,385200000,3960900000,0,3960900000,56200000,1671200000,-84200000
MCO,2011,2011,FY,760000000,14800000,774800000,489800000,0,159800000,1424400000,326800000,642900000,253600000,896500000,37200000,146400000,44800000,1451700000,0,2876100000,16400000,71300000,23400000,520400000,525900000,1134000000,1172500000,206500000,49600000,1231900000,1840000000,0,0,2974000000,0,3400000,4176100000,-107500000,-4241000000,-169000000,-169000000,2876100000,0,2876100000,52000000,1243800000,483800000
MCO,2010,2010,FY,659600000,12700000,672300000,497500000,0,173200000,1343000000,319300000,465500000,168800000,634300000,30800000,187900000,25000000,1197300000,0,2540300000,14300000,11300000,26900000,508100000,400100000,933800000,1228300000,96600000,36900000,1371200000,1904900000,0,0,2838700000,0,3400000,3736200000,-33400000,-4015800000,-309600000,-309600000,2540300000,0,2540300000,43500000,1239600000,580000000
MCO,2009,2009,FY,473900000,10000000,483900000,444900000,0,84100000,1012900000,293000000,349200000,104900000,454100000,0,192600000,50700000,990400000,0,2003300000,7100000,447500000,20300000,471300000,310100000,1236000000,746200000,103800000,31400000,437500000,1363400000,0,0,2599400000,0,3400000,3329000000,-41200000,-3897400000,-606200000,-606200000,2003300000,0,2003300000,10000000,1193700000,719800000
MCO,2008,2008,FY,245900000,7100000,253000000,421800000,0,134300000,809100000,247700000,338000000,114000000,452000000,0,220100000,44500000,964300000,0,1773400000,8600000,717700000,0,435000000,231800000,1393100000,750000000,0,19000000,213400000,1374700000,0,0,2767800000,0,3400000,3023200000,-52100000,-3968900000,-994400000,-994400000,1773400000,0,1773400000,7100000,1467700000,1221800000
MCO,2007,2007,FY,426300000,14700000,441000000,443600000,0,104500000,989100000,214600000,179900000,56900000,236800000,0,0,274100000,725500000,0,1714600000,8100000,551900000,0,426000000,363200000,1349200000,600000000,0,0,163000000,1149000000,0,0,2498200000,0,3400000,2661100000,15600000,-3463700000,-783600000,-783600000,1714600000,0,1714600000,14700000,1151900000,725600000
MCO,2006,2006,FY,408100000,75400000,483500000,475400000,0,43000000,1001900000,62000000,176100000,65700000,241800000,0,0,192000000,495800000,0,1497700000,8800000,0,0,360300000,330900000,700000000,300000000,0,0,261200000,630300000,0,0,1330300000,0,3400000,2091400000,-8400000,-1919000000,167400000,167400000,1497700000,0,1497700000,75400000,300000000,-108100000
MCO,2005,2005,FY,486000000,94500000,580500000,421800000,0,49500000,1051800000,55400000,0,222900000,222900000,0,0,127100000,405400000,0,1457200000,279800000,0,0,299100000,0,578900000,300000000,0,0,-10000000,568900000,0,0,1147800000,0,3400000,1419200000,-900000,-1112300000,309400000,309400000,1457200000,0,1457200000,94500000,300000000,-186000000
MCO,2004,2004,FY,606100000,0,606100000,358400000,0,58100000,1022600000,45200000,0,202400000,202400000,0,0,105800000,353400000,0,1376000000,270500000,300000000,0,266700000,0,837200000,0,0,0,-615900000,221300000,0,0,1058500000,0,1700000,939300000,9700000,-633200000,317500000,317500000,1376000000,0,1376000000,0,300000000,-306100000
MCO,2003,2003,FY,269100000,0,269100000,270300000,0,29600000,569000000,46800000,0,203800000,203800000,0,0,121800000,372400000,0,941400000,217500000,0,0,214600000,0,432100000,300000000,0,0,109300000,541400000,0,0,973500000,0,1700000,558900000,8100000,-600800000,-32100000,-32100000,941400000,0,941400000,0,300000000,30900000
