TICKER,YEAR,CALENDAR_YEAR,PERIOD,CASH_AND_EQUIVALENTS,SHORT_TERM_INVESTMENTS,CASH_AND_SHORT_TERM_INVESTMENTS,NET_RECEIVABLES,INVENTORY,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PROPERTY_PLANT_EQUIPMENTNET,GOODWILL,INTANGIBLE_ASSETS,GOOD_WILL_AND_INTANGIBLE_ASSETS,LONG_TERM_INVESTMENTS,TAX_ASSETS,OTHER_NON_CURRENT_ASSETS,TOTAL_NON_CURRENT_ASSETS,OTHER_ASSETS,TOTAL_ASSETS,ACCOUNTS_PAYABLES,SHORT_TERM_DEBT,TAX_PAYABLES,DEFERRED_REVENUE,OTHER_CURRENT_LIABILITIES,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,DEFERRED_REVENUE_NONCURRENT,DEFERRED_TAX_LIABILITIES_NONCURRENT,OTHER_NONCURRENT_LIABILITIES,TOTAL_NONCURRENT_LIABILITIES,OTHER_LIABILITIES,CAPITAL_LEASE_OBLIGATIONS,TOTAL_LIABILITIES,PREFERRED_STOCK,COMMON_STOCK,RETAINED_EARNINGS,ACCUMULATED_OTHER_COMPREHENSIVE_INCOME,OTHER_TOTAL_STOCKHOLDERS_EQUITY,TOTAL_STOCKHOLDERS_EQUITY,TOTAL_EQUITY,TOTAL_LIABILITIES_AND_STOCKHOLDERS_EQUITY,MINORITY_INTEREST,TOTAL_LIABILITIES_AND_TOTAL_EQUITY,TOTAL_INVESTMENTS,TOTAL_DEBT,NET_DEBT
VZ,2022,2022,FY,2605000000,0,2605000000,24506000000,2388000000,8358000000,37857000000,133564000000,28671000000,161257000000,189928000000,1071000000,43441000000,-26181000000,341823000000,0,379680000000,8750000000,14097000000,1876000000,6583000000,20741000000,50171000000,162234000000,0,43441000000,207616000000,237046000000,0,25692000000,287217000000,0,429000000,82380000000,-1865000000,10200000000,91144000000,91144000000,379680000000,0,379680000000,1071000000,176331000000,173726000000
VZ,2021,2021,FY,2921000000,0,2921000000,23846000000,3055000000,6906000000,36728000000,127579000000,28603000000,159296000000,187899000000,1061000000,0,13329000000,329868000000,0,366596000000,8040000000,11302000000,1624000000,6053000000,21765000000,47160000000,166628000000,0,40685000000,210841000000,236236000000,0,27062000000,283396000000,0,429000000,71993000000,-927000000,10295000000,81790000000,81790000000,366596000000,0,366596000000,1061000000,177930000000,175009000000
VZ,2020,2020,FY,22171000000,0,22171000000,23917000000,1796000000,6710000000,54594000000,117364000000,24773000000,105510000000,130283000000,589000000,0,13651000000,261887000000,0,316481000000,6667000000,9374000000,1432000000,4843000000,18776000000,39660000000,141173000000,0,35711000000,186665000000,207549000000,0,21485000000,247209000000,0,429000000,60464000000,-71000000,7020000000,67842000000,67842000000,316481000000,0,316481000000,589000000,150547000000,128376000000
VZ,2019,2019,FY,2594000000,0,2594000000,25429000000,1422000000,8028000000,37473000000,114609000000,24389000000,104557000000,128946000000,558000000,0,10141000000,254254000000,0,291727000000,7725000000,14038000000,1771000000,4651000000,18454000000,44868000000,119105000000,0,34703000000,157610000000,184024000000,0,21654000000,228892000000,0,429000000,53147000000,998000000,6821000000,61395000000,61395000000,291727000000,0,291727000000,558000000,133143000000,130549000000
VZ,2018,2018,FY,2745000000,0,2745000000,25102000000,1336000000,5453000000,34636000000,89286000000,24614000000,103905000000,128519000000,671000000,0,11717000000,230193000000,0,264829000000,7232000000,7190000000,1483000000,4207000000,17818000000,37930000000,105873000000,0,33795000000,32521000000,172189000000,0,0,210119000000,0,429000000,43542000000,2370000000,6804000000,53145000000,53145000000,263264000000,0,263264000000,0,113063000000,110318000000
VZ,2017,2017,FY,2079000000,0,2079000000,23493000000,1034000000,3307000000,29913000000,88568000000,29172000000,98664000000,127836000000,1039000000,0,9787000000,227230000000,0,257143000000,7063000000,3453000000,1483000000,3084000000,17954000000,33037000000,113642000000,0,31232000000,34545000000,179419000000,0,0,212456000000,0,424000000,35635000000,2659000000,4378000000,43096000000,43096000000,255552000000,0,255552000000,0,117095000000,115016000000
VZ,2016,2016,FY,2880000000,0,2880000000,17513000000,1202000000,4800000000,26395000000,84751000000,27205000000,95570000000,122775000000,1110000000,0,9149000000,217785000000,0,244180000000,7084000000,2645000000,1516000000,2914000000,16181000000,30340000000,105433000000,0,45964000000,38411000000,189808000000,0,0,220148000000,0,424000000,15059000000,2673000000,4368000000,22524000000,22524000000,242672000000,0,242672000000,0,108078000000,105198000000
VZ,2015,2015,FY,4470000000,350000000,4820000000,13457000000,1252000000,2751000000,22280000000,83541000000,25331000000,94913000000,120244000000,796000000,0,17779000000,222360000000,0,244640000000,6391000000,6489000000,2054000000,2969000000,17149000000,35052000000,103705000000,0,45484000000,42557000000,191746000000,0,0,226798000000,0,424000000,11246000000,550000000,4208000000,16428000000,16428000000,243226000000,0,243226000000,1146000000,110194000000,105724000000
VZ,2014,2014,FY,10598000000,555000000,11153000000,13993000000,1153000000,3324000000,29623000000,89947000000,24639000000,81069000000,105708000000,802000000,0,6628000000,203085000000,0,232708000000,5598000000,2735000000,1457000000,3125000000,15149000000,28064000000,110536000000,0,41578000000,38854000000,190968000000,0,0,219032000000,0,424000000,2447000000,1111000000,8316000000,12298000000,12298000000,231330000000,0,231330000000,1357000000,113271000000,102673000000
VZ,2013,2013,FY,53528000000,601000000,54129000000,12439000000,1020000000,3406000000,70994000000,88956000000,24634000000,81547000000,106181000000,3432000000,0,4535000000,203104000000,0,274098000000,4954000000,3933000000,1556000000,2829000000,13778000000,27050000000,89658000000,0,28639000000,33335000000,151632000000,0,0,178682000000,0,297000000,1782000000,2358000000,34399000000,38836000000,38836000000,217518000000,0,217518000000,4033000000,93591000000,40063000000
