TICKER,YEAR,CALENDAR_YEAR,PERIOD,NET_INCOME,DEPRECIATION_AND_AMORTIZATION,DEFERRED_INCOME_TAX,STOCK_BASED_COMPENSATION,CHANGE_IN_WORKING_CAPITAL,ACCOUNTS_RECEIVABLES,INVENTORY,ACCOUNTS_PAYABLES,OTHER_WORKING_CAPITAL,OTHER_NON_CASH_ITEMS,NET_OPERATING_ACTIVITIES,INVESTMENTS_IN_PROPERTY_PLANT_AND_EQUIPMENT,ACQUISITIONS,PURCHASES_OF_INVESTMENTS,SALES_OF_INVESTMENTS,OTHER_INVESTING_ACTIVITES,NET_INVESTING_ACTIVITES,DEBT_PAYMENT,COMMON_STOCK_ISSUED,COMMON_STOCK_REPURCHASED,DIVIDENDS_PAID,OTHER_FINANCING_ACTIVITES,NET_FINANCING_ACTIVITIES,FOREX_CHANGE,NET_CHANGE_IN_CASH,OPERATING_CASH_FLOW,CAPITAL_EXPENDITURE,FREE_CASH_FLOW
AAPL,2022,2022,FY,99803000000,11104000000,895000000,9038000000,1200000000,-1823000000,1484000000,9448000000,-7909000000,111000000,122151000000,-10708000000,-306000000,-76923000000,67363000000,-1780000000,-22354000000,-9543000000,0,-89402000000,-14841000000,3037000000,-110749000000,0,-10952000000,122151000000,-10708000000,111443000000
AAPL,2021,2021,FY,94680000000,11284000000,-4774000000,7906000000,-4911000000,-10125000000,-2642000000,12326000000,-4470000000,-147000000,104038000000,-11085000000,-33000000,-109558000000,106483000000,-352000000,-14545000000,-8750000000,1105000000,-85971000000,-14467000000,14730000000,-93353000000,0,-3860000000,104038000000,-11085000000,92953000000
AAPL,2020,2020,FY,57411000000,11056000000,-215000000,6829000000,5690000000,6917000000,-127000000,-4062000000,2962000000,-97000000,80674000000,-7309000000,-1524000000,-115148000000,120483000000,-791000000,-4289000000,-13592000000,880000000,-72358000000,-14081000000,12331000000,-86820000000,0,-10435000000,80674000000,-7309000000,73365000000
AAPL,2019,2019,FY,55256000000,12547000000,-340000000,6068000000,-3488000000,245000000,-289000000,-1923000000,-1521000000,-652000000,69391000000,-10495000000,-624000000,-40631000000,98724000000,-1078000000,45896000000,-8805000000,781000000,-66897000000,-14119000000,-1936000000,-90976000000,0,24311000000,69391000000,-10495000000,58896000000
AAPL,2018,2018,FY,59531000000,10903000000,-32590000000,5340000000,34694000000,-5322000000,828000000,9175000000,30013000000,-444000000,77434000000,-13313000000,-721000000,-73227000000,104072000000,-745000000,16066000000,-6500000000,669000000,-72738000000,-13712000000,4405000000,-87876000000,0,5624000000,77434000000,-13313000000,64121000000
AAPL,2017,2017,FY,48351000000,10157000000,5966000000,4840000000,-5550000000,-2093000000,-2723000000,9618000000,-10352000000,-166000000,63598000000,-12795000000,-329000000,-159881000000,126339000000,220000000,-46446000000,-3500000000,555000000,-32900000000,-12769000000,31267000000,-17347000000,0,-195000000,63598000000,-12795000000,50803000000
AAPL,2016,2016,FY,45687000000,10505000000,4938000000,4210000000,484000000,1095000000,217000000,1791000000,-2619000000,0,65824000000,-13548000000,-297000000,-143816000000,111794000000,-110000000,-45977000000,-2500000000,495000000,-29722000000,-12150000000,23394000000,-20483000000,0,-636000000,65824000000,-13548000000,52276000000
AAPL,2015,2015,FY,53394000000,11257000000,1382000000,3586000000,11647000000,611000000,-238000000,5400000000,5874000000,0,81266000000,-11488000000,-343000000,-166402000000,121985000000,-26000000,-56274000000,0,543000000,-35253000000,-11561000000,28555000000,-17716000000,0,7276000000,81266000000,-11488000000,69778000000
AAPL,2014,2014,FY,39510000000,7946000000,2347000000,2863000000,7047000000,-4232000000,-76000000,5938000000,5417000000,0,59713000000,-9813000000,-3765000000,-217128000000,208111000000,16000000,-22579000000,0,730000000,-45000000000,-11126000000,17847000000,-37549000000,0,-415000000,59713000000,-9813000000,49900000000
AAPL,2013,2013,FY,37037000000,6757000000,1141000000,2253000000,6478000000,-2172000000,-973000000,2340000000,7283000000,0,53666000000,-9076000000,-496000000,-148489000000,124447000000,-160000000,-33774000000,0,530000000,-22860000000,-10564000000,16515000000,-16379000000,0,3513000000,53666000000,-9076000000,44590000000
AAPL,2012,2012,FY,41733000000,3277000000,4405000000,1740000000,-299000000,-5551000000,-15000000,4467000000,800000000,0,50856000000,-9402000000,-350000000,-151232000000,112805000000,-48000000,-48227000000,0,665000000,0,-2488000000,125000000,-1698000000,0,931000000,50856000000,-9402000000,41454000000
AAPL,2011,2011,FY,25922000000,1814000000,2868000000,1168000000,5757000000,143000000,275000000,2515000000,2824000000,0,37529000000,-7452000000,-244000000,-102317000000,69853000000,-259000000,-40419000000,0,831000000,0,0,613000000,1444000000,0,-1446000000,37529000000,-7452000000,30077000000
AAPL,2010,2010,FY,14013000000,1027000000,1440000000,879000000,1212000000,-2142000000,-596000000,6307000000,-2357000000,24000000,18595000000,-2121000000,-638000000,-57811000000,46718000000,-2000000,-13854000000,0,912000000,0,0,345000000,1257000000,0,5998000000,18595000000,-2121000000,16474000000
AAPL,2009,2009,FY,5704000000,703000000,-519000000,710000000,3535000000,-939000000,54000000,92000000,4328000000,26000000,10159000000,-1213000000,0,-46825000000,30678000000,-74000000,-17434000000,0,475000000,0,0,188000000,663000000,0,-6612000000,10159000000,-1213000000,8946000000
AAPL,2008,2008,FY,4834000000,473000000,-368000000,516000000,4119000000,-785000000,-163000000,596000000,4471000000,22000000,9596000000,-1199000000,-220000000,-23003000000,16243000000,-10000000,-8189000000,0,483000000,-124000000,0,757000000,1116000000,0,2523000000,9596000000,-1199000000,8397000000
AAPL,2007,2007,FY,3496000000,317000000,78000000,242000000,1325000000,-385000000,-76000000,1494000000,292000000,12000000,5470000000,-986000000,0,-11736000000,9424000000,49000000,-3249000000,0,365000000,-3000000,0,377000000,739000000,0,2960000000,5470000000,-986000000,4484000000
AAPL,2006,2006,FY,1989000000,225000000,53000000,163000000,-221000000,-357000000,-105000000,1611000000,-1370000000,11000000,2220000000,-657000000,40000000,-7280000000,8312000000,-58000000,357000000,0,318000000,-355000000,0,361000000,324000000,0,2901000000,2220000000,-657000000,1563000000
AAPL,2005,2005,FY,1335000000,179000000,505000000,42000000,465000000,-121000000,-64000000,328000000,322000000,9000000,2535000000,-260000000,0,-11470000000,9195000000,-21000000,-2556000000,0,543000000,0,0,0,543000000,0,522000000,2535000000,-260000000,2275000000
AAPL,2004,2004,FY,276000000,150000000,20000000,33000000,448000000,-8000000,-45000000,297000000,204000000,7000000,934000000,-176000000,0,-3270000000,1947000000,11000000,-1488000000,-300000000,427000000,0,0,0,127000000,0,-427000000,934000000,-176000000,758000000
AAPL,2003,2003,FY,68000000,113000000,-11000000,16000000,126000000,-201000000,-11000000,243000000,95000000,-23000000,289000000,-164000000,0,-2648000000,3607000000,33000000,828000000,0,53000000,-26000000,0,0,27000000,0,1144000000,289000000,-164000000,125000000
