TICKER,YEAR,CALENDAR_YEAR,PERIOD,NET_INCOME,DEPRECIATION_AND_AMORTIZATION,DEFERRED_INCOME_TAX,STOCK_BASED_COMPENSATION,CHANGE_IN_WORKING_CAPITAL,ACCOUNTS_RECEIVABLES,INVENTORY,ACCOUNTS_PAYABLES,OTHER_WORKING_CAPITAL,OTHER_NON_CASH_ITEMS,NET_OPERATING_ACTIVITIES,INVESTMENTS_IN_PROPERTY_PLANT_AND_EQUIPMENT,ACQUISITIONS,PURCHASES_OF_INVESTMENTS,SALES_OF_INVESTMENTS,OTHER_INVESTING_ACTIVITES,NET_INVESTING_ACTIVITES,DEBT_PAYMENT,COMMON_STOCK_ISSUED,COMMON_STOCK_REPURCHASED,DIVIDENDS_PAID,OTHER_FINANCING_ACTIVITES,NET_FINANCING_ACTIVITIES,FOREX_CHANGE,NET_CHANGE_IN_CASH,OPERATING_CASH_FLOW,CAPITAL_EXPENDITURE,FREE_CASH_FLOW
AXP,2022,2022,FY,7514000000,1626000000,-1189000000,375000000,10206000000,0,0,8815000000,1391000000,2547000000,21079000000,-1855000000,-15000000,-4175000000,1918000000,-29562000000,-33689000000,-18906000000,56000000,-3502000000,-1565000000,48426000000,24509000000,-13000000,11886000000,21079000000,-1855000000,19224000000
AXP,2021,2021,FY,8060000000,1695000000,294000000,330000000,6457000000,0,0,5389000000,1068000000,-2191000000,14645000000,-1550000000,1000000,-1517000000,20094000000,-27557000000,-10529000000,-11662000000,64000000,-9252000000,-1448000000,7365000000,-14933000000,-120000000,-10937000000,14645000000,-1550000000,13095000000
AXP,2020,2020,FY,3135000000,1543000000,-256000000,249000000,-3810000000,0,0,-2025000000,-1785000000,4730000000,5591000000,-1478000000,-597000000,-20562000000,7228000000,27041000000,11632000000,-15593000000,44000000,-1029000000,-1474000000,8984000000,-9068000000,364000000,8519000000,5591000000,-1478000000,4113000000
AXP,2019,2019,FY,6759000000,1188000000,426000000,283000000,1403000000,0,0,1771000000,-368000000,3573000000,13632000000,-1645000000,-352000000,-11166000000,7351000000,-10895000000,-16707000000,-13850000000,86000000,-4685000000,-1422000000,19352000000,-519000000,232000000,-3362000000,13632000000,-1645000000,11987000000
AXP,2018,2018,FY,6921000000,1293000000,455000000,283000000,-3374000000,0,0,-4121000000,-244000000,3352000000,8930000000,-1310000000,-520000000,-5434000000,3503000000,-15854000000,-19615000000,-18895000000,87000000,-1685000000,-1324000000,26918000000,5101000000,129000000,-5455000000,8930000000,-1310000000,7620000000
AXP,2017,2017,FY,2736000000,1321000000,783000000,282000000,5659000000,0,0,5505000000,-257000000,2759000000,13540000000,-1062000000,-211000000,-2612000000,2496000000,-16884000000,-18273000000,-24082000000,129000000,-4400000000,-1251000000,41849000000,12245000000,207000000,7719000000,13540000000,-1062000000,12478000000
AXP,2016,2016,FY,5408000000,1095000000,-1132000000,254000000,573000000,0,0,1072000000,-410000000,2026000000,8224000000,-1375000000,-487000000,-2162000000,2527000000,3365000000,1868000000,-9848000000,177000000,-4431000000,-1207000000,7777000000,-7532000000,-114000000,2446000000,8224000000,-1375000000,6849000000
AXP,2015,2015,FY,5163000000,1043000000,506000000,234000000,2038000000,0,0,1020000000,-367000000,1988000000,10972000000,-1341000000,-155000000,-1713000000,2103000000,-7087000000,-8193000000,-19610000000,193000000,-4480000000,-1172000000,23040000000,-2029000000,-276000000,474000000,10972000000,-1341000000,9631000000
AXP,2014,2014,FY,5885000000,1012000000,-941000000,290000000,2700000000,0,0,2594000000,-488000000,2044000000,10990000000,-1195000000,-229000000,-886000000,2348000000,-8005000000,-7967000000,-12768000000,362000000,-4389000000,-1041000000,17847000000,11000000,-232000000,2802000000,10990000000,-1195000000,9795000000
AXP,2013,2013,FY,5359000000,1020000000,-283000000,350000000,-9000000,0,0,88000000,-359000000,2110000000,8547000000,-1006000000,-195000000,-1348000000,1509000000,-6229000000,-7269000000,-14763000000,721000000,-3943000000,-939000000,15033000000,-3891000000,-151000000,-2764000000,8547000000,-1006000000,7541000000
