TICKER,YEAR,CALENDAR_YEAR,PERIOD,NET_INCOME,DEPRECIATION_AND_AMORTIZATION,DEFERRED_INCOME_TAX,STOCK_BASED_COMPENSATION,CHANGE_IN_WORKING_CAPITAL,ACCOUNTS_RECEIVABLES,INVENTORY,ACCOUNTS_PAYABLES,OTHER_WORKING_CAPITAL,OTHER_NON_CASH_ITEMS,NET_OPERATING_ACTIVITIES,INVESTMENTS_IN_PROPERTY_PLANT_AND_EQUIPMENT,ACQUISITIONS,PURCHASES_OF_INVESTMENTS,SALES_OF_INVESTMENTS,OTHER_INVESTING_ACTIVITES,NET_INVESTING_ACTIVITES,DEBT_PAYMENT,COMMON_STOCK_ISSUED,COMMON_STOCK_REPURCHASED,DIVIDENDS_PAID,OTHER_FINANCING_ACTIVITES,NET_FINANCING_ACTIVITIES,FOREX_CHANGE,NET_CHANGE_IN_CASH,OPERATING_CASH_FLOW,CAPITAL_EXPENDITURE,FREE_CASH_FLOW
JNJ,2023,2022,FY,17941000000,6970000000,-1663000000,1138000000,-4011000000,-1290000000,-2527000000,0,-194000000,819000000,21194000000,-4009000000,-17652000000,-32384000000,41609000000,65000000,-12371000000,-8684000000,0,-6035000000,-11682000000,17530000000,-8871000000,-312000000,-360000000,21194000000,-4009000000,17185000000
JNJ,2022,2021,FY,20878000000,7390000000,-2079000000,1135000000,-4238000000,-2402000000,-1248000000,0,-588000000,324000000,23410000000,-3652000000,-60000000,-30394000000,25006000000,417000000,-8683000000,-2992000000,0,-3456000000,-11032000000,3433000000,-14047000000,-178000000,502000000,23410000000,-3652000000,19758000000
JNJ,2021,2020,FY,14714000000,7231000000,-1141000000,1005000000,2690000000,774000000,-265000000,0,2181000000,-963000000,23536000000,-3347000000,-7323000000,-21089000000,12137000000,-1203000000,-20825000000,-3727000000,0,-3221000000,-10481000000,11309000000,-6120000000,89000000,-3320000000,23536000000,-3347000000,20189000000
JNJ,2019,2019,FY,15119000000,7009000000,-2476000000,977000000,3865000000,-289000000,-277000000,0,4431000000,-1078000000,23416000000,-3498000000,-5810000000,-3920000000,3725000000,3309000000,-6194000000,-2923000000,0,-6746000000,-9917000000,1571000000,-18015000000,-9000000,-802000000,23416000000,-3498000000,19918000000
JNJ,2018,2018,FY,15297000000,6929000000,-1016000000,978000000,3000000,-1185000000,-644000000,0,14803000000,10000000,22201000000,-3670000000,-899000000,-5626000000,4289000000,2739000000,-3167000000,-4034000000,0,-5868000000,-9494000000,886000000,-18510000000,-241000000,283000000,22201000000,-3670000000,18531000000
JNJ,2017,2016,FY,16540000000,3754000000,-341000000,878000000,-1773000000,-1065000000,-249000000,0,38745000000,-291000000,18767000000,-3226000000,-4509000000,-33950000000,35780000000,1144000000,-4761000000,-4240000000,0,-8979000000,-8621000000,13289000000,-8551000000,-215000000,5240000000,18767000000,-3226000000,15541000000
JNJ,2016,2015,FY,15409000000,3746000000,-270000000,874000000,1339000000,-433000000,-449000000,0,32463000000,-1819000000,19279000000,-3463000000,-954000000,-40828000000,34149000000,3361000000,-7735000000,-1112000000,0,-5290000000,-8173000000,3729000000,-10846000000,-1489000000,-791000000,19279000000,-3463000000,15816000000
JNJ,2014,2014,FY,16323000000,3895000000,441000000,792000000,-1066000000,-247000000,-1120000000,0,34226000000,-1914000000,18471000000,-3714000000,-2129000000,-34913000000,24119000000,4332000000,-12305000000,-3111000000,0,-7124000000,-7768000000,5743000000,-12260000000,-310000000,-6404000000,18471000000,-3714000000,14757000000
JNJ,2013,2013,FY,13831000000,4104000000,-607000000,728000000,-941000000,-632000000,-622000000,0,30732000000,299000000,17414000000,-3595000000,-835000000,-18923000000,18058000000,192000000,-5103000000,-2990000000,0,-3538000000,-7286000000,7723000000,-6091000000,-204000000,6016000000,17414000000,-3595000000,13819000000
JNJ,2012,2011,FY,9672000000,3158000000,-836000000,621000000,1651000000,-915000000,-715000000,0,2788000000,32000000,14298000000,-2893000000,-2797000000,-29882000000,30396000000,564000000,-4612000000,-11216000000,0,-2525000000,-6156000000,15445000000,-4452000000,-47000000,5187000000,14298000000,-2893000000,11405000000
