TICKER,YEAR,CALENDAR_YEAR,PERIOD,NET_INCOME,DEPRECIATION_AND_AMORTIZATION,DEFERRED_INCOME_TAX,STOCK_BASED_COMPENSATION,CHANGE_IN_WORKING_CAPITAL,ACCOUNTS_RECEIVABLES,INVENTORY,ACCOUNTS_PAYABLES,OTHER_WORKING_CAPITAL,OTHER_NON_CASH_ITEMS,NET_OPERATING_ACTIVITIES,INVESTMENTS_IN_PROPERTY_PLANT_AND_EQUIPMENT,ACQUISITIONS,PURCHASES_OF_INVESTMENTS,SALES_OF_INVESTMENTS,OTHER_INVESTING_ACTIVITES,NET_INVESTING_ACTIVITES,DEBT_PAYMENT,COMMON_STOCK_ISSUED,COMMON_STOCK_REPURCHASED,DIVIDENDS_PAID,OTHER_FINANCING_ACTIVITES,NET_FINANCING_ACTIVITIES,FOREX_CHANGE,NET_CHANGE_IN_CASH,OPERATING_CASH_FLOW,CAPITAL_EXPENDITURE,FREE_CASH_FLOW
MA,2022,2022,FY,9930000000,750000000,-651000000,295000000,-904000000,-481000000,0,190000000,-613000000,1775000000,11195000000,-1097000000,-313000000,-594000000,537000000,-3000000,-1470000000,-724000000,90000000,-8753000000,-1903000000,962000000,-10328000000,-103000000,-706000000,11195000000,-1097000000,10098000000
MA,2021,2021,FY,8687000000,726000000,-69000000,273000000,-916000000,-7000000,0,100000000,-1009000000,762000000,9463000000,-814000000,-4436000000,-911000000,856000000,33000000,-5272000000,-650000000,0,-5904000000,-1741000000,1740000000,-6555000000,-153000000,-2517000000,9463000000,-814000000,8649000000
MA,2020,2020,FY,6411000000,580000000,73000000,254000000,-1150000000,1202000000,0,26000000,-2378000000,1056000000,7224000000,-708000000,-989000000,-807000000,622000000,-366000000,-1879000000,0,0,-4473000000,-1605000000,3926000000,-2152000000,257000000,3450000000,7224000000,-708000000,6516000000
MA,2019,2019,FY,8118000000,522000000,-7000000,250000000,-1698000000,-690000000,0,-42000000,-966000000,998000000,8183000000,-728000000,-1440000000,-1325000000,1857000000,-310000000,-1640000000,-500000000,0,-6497000000,-1345000000,2475000000,-5867000000,-44000000,632000000,8183000000,-728000000,7455000000
MA,2018,2018,FY,5859000000,459000000,-244000000,196000000,-1313000000,-1395000000,0,950000000,-267000000,1266000000,6223000000,-330000000,0,-1809000000,1912000000,-279000000,-506000000,0,0,-4933000000,-1044000000,1011000000,-4966000000,-6000000,745000000,6223000000,-504000000,5719000000
MA,2017,2017,FY,3915000000,437000000,86000000,176000000,-286000000,-726000000,0,684000000,7000000,1227000000,5555000000,-300000000,-1175000000,-1859000000,1824000000,-269000000,-1779000000,-64000000,0,-3762000000,-942000000,4000000,-4764000000,200000000,-788000000,5555000000,-423000000,5132000000
MA,2016,2016,FY,4059000000,373000000,-20000000,50000000,-867000000,-348000000,0,211000000,-193000000,889000000,4484000000,-215000000,0,-1824000000,1072000000,-200000000,-1167000000,0,0,-3511000000,-837000000,2055000000,-2293000000,-50000000,974000000,4484000000,-382000000,4102000000
MA,2015,2015,FY,3808000000,366000000,-16000000,22000000,-820000000,-133000000,0,-137000000,4000000,683000000,4043000000,-177000000,-584000000,-1892000000,2102000000,-164000000,-715000000,0,0,-3518000000,-727000000,1787000000,-2458000000,-260000000,610000000,4043000000,-342000000,3701000000
MA,2014,2014,FY,3617000000,321000000,-91000000,-15000000,-1168000000,21000000,0,-104000000,-35000000,743000000,3407000000,-175000000,-525000000,-2385000000,3835000000,-60000000,690000000,0,0,-3386000000,-515000000,1562000000,-2339000000,-220000000,1538000000,3407000000,-334000000,3073000000
MA,2013,2013,FY,3116000000,258000000,-119000000,63000000,750000000,-236000000,0,302000000,126000000,67000000,4135000000,-155000000,0,-2526000000,2845000000,-168000000,-4000000,0,0,-2443000000,-255000000,69000000,-2629000000,45000000,1547000000,4135000000,-299000000,3836000000
MA,2012,2012,FY,2759000000,230000000,199000000,42000000,-334000000,-621000000,0,346000000,30000000,52000000,2948000000,-96000000,-70000000,-2981000000,1281000000,-973000000,-2839000000,0,0,-1748000000,-132000000,82000000,-1798000000,7000000,-1682000000,2948000000,-218000000,2730000000
MA,2011,2011,FY,1906000000,194000000,-175000000,80000000,707000000,-276000000,0,141000000,52000000,-28000000,2684000000,-77000000,-460000000,-973000000,848000000,-86000000,-748000000,-21000000,0,-1148000000,-77000000,31000000,-1215000000,-54000000,667000000,2684000000,-177000000,2507000000
MA,2010,2010,FY,1846000000,148000000,248000000,63000000,-439000000,-226000000,0,167000000,6000000,-169000000,1697000000,-61000000,-498000000,-329000000,407000000,-160000000,-641000000,0,0,0,-79000000,98000000,19000000,-63000000,1012000000,1697000000,-151000000,1546000000
MA,2009,2009,FY,1462532000,141377000,336704000,88430000,-674141000,176918000,0,-31397000,-40398000,23260000,1378162000,-56563000,-3000000,-650280000,134177000,-88514000,-664180000,-149380000,0,-4620000,-78685000,47745000,-184940000,21237000,550279000,1378162000,-139360000,1238802000
MA,2008,2008,FY,-253915000,112006000,-483952000,60970000,1074574000,-115687000,0,8425000,76184000,-96455000,413228000,-75626000,-82000000,-519514000,976743000,-97952000,201651000,-80000000,0,-649468000,-79259000,57349000,-751378000,-17636000,-154135000,413228000,-170273000,242955000
MA,2007,2007,FY,1085886000,97642000,-5492000,0,-110542000,0,0,0,178378000,-297633000,769861000,-156422000,0,-3578357000,4042011000,7909000,315141000,0,1597000,-600532000,-74002000,15430000,-657507000,46720000,474215000,769861000,-156422000,613439000
MA,2006,2006,FY,50190000,99782000,32267000,0,44210000,0,0,0,-113436000,423712000,650161000,-94468000,0,-3815115000,3233725000,-368000,-676226000,0,2449910000,-1799937000,-12373000,0,637600000,28272000,639807000,650161000,-94468000,555693000
MA,2005,2005,FY,266719000,109936000,-54036000,0,-61953000,0,0,0,-161687000,12182000,272848000,-82003000,0,-2834321000,2883709000,-1040000,-33655000,0,0,0,0,0,0,-22916000,216277000,272848000,-82003000,190845000
MA,2004,2004,FY,238060000,123317000,40845000,0,-70394000,0,0,0,-7233000,11967000,343795000,-78155000,0,-2194931000,2032275000,-33703000,-274514000,0,0,0,0,0,0,11596000,80877000,343795000,-78155000,265640000
MA,2003,2003,FY,-385793000,119551000,-240666000,0,691603000,-48799000,0,21566000,1257000,5750000,190445000,-76253000,0,-249057000,232578000,-68951000,-161683000,0,0,0,0,0,0,8933000,37695000,190445000,-143470000,46975000
