TICKER,YEAR,CALENDAR_YEAR,PERIOD,NET_INCOME,DEPRECIATION_AND_AMORTIZATION,DEFERRED_INCOME_TAX,STOCK_BASED_COMPENSATION,CHANGE_IN_WORKING_CAPITAL,ACCOUNTS_RECEIVABLES,INVENTORY,ACCOUNTS_PAYABLES,OTHER_WORKING_CAPITAL,OTHER_NON_CASH_ITEMS,NET_OPERATING_ACTIVITIES,INVESTMENTS_IN_PROPERTY_PLANT_AND_EQUIPMENT,ACQUISITIONS,PURCHASES_OF_INVESTMENTS,SALES_OF_INVESTMENTS,OTHER_INVESTING_ACTIVITES,NET_INVESTING_ACTIVITES,DEBT_PAYMENT,COMMON_STOCK_ISSUED,COMMON_STOCK_REPURCHASED,DIVIDENDS_PAID,OTHER_FINANCING_ACTIVITES,NET_FINANCING_ACTIVITIES,FOREX_CHANGE,NET_CHANGE_IN_CASH,OPERATING_CASH_FLOW,CAPITAL_EXPENDITURE,FREE_CASH_FLOW
MCO,2022,2022,FY,1374000000,331000000,48000000,169000000,-427000000,34000000,0,-161000000,-300000000,-21000000,1474000000,-283000000,-97000000,-320000000,438000000,0,-262000000,-626000000,0,-983000000,-515000000,916000000,-1208000000,-46000000,-42000000,1474000000,-283000000,1191000000
MCO,2021,2021,FY,2214000000,257000000,-218000000,175000000,-400000000,-257000000,0,0,-143000000,-23000000,2005000000,-139000000,-2179000000,-485000000,184000000,0,-2619000000,-500000000,0,-750000000,-463000000,1591000000,-122000000,-50000000,-786000000,2005000000,-139000000,1866000000
MCO,2020,2020,FY,1777000000,220000000,-44000000,154000000,38000000,31000000,0,0,7000000,1000000,2146000000,-103000000,-897000000,-183000000,106000000,-103000000,-1077000000,-1592000000,0,-503000000,-420000000,2164000000,-351000000,47000000,765000000,2146000000,-103000000,2043000000
MCO,2019,2019,FY,1429000000,200000000,-38000000,136000000,-104000000,-134000000,0,0,30000000,52000000,1675000000,-69000000,64000000,-145000000,186000000,-69000000,36000000,-2270000000,0,-991000000,-378000000,2076000000,-1563000000,-1000000,147000000,1675000000,-69000000,1606000000
MCO,2018,2018,FY,1319400000,191900000,-98900000,130300000,-81600000,-136100000,0,0,54500000,0,1461100000,-90400000,-283600000,-193000000,160600000,0,-406400000,-1920000000,0,-202600000,-337200000,2048300000,-411500000,-29700000,613500000,1461100000,-90400000,1370700000
MCO,2017,2017,FY,1007700000,158300000,88300000,122900000,-458900000,-148100000,0,0,-310800000,-170800000,747500000,-90600000,-3511000000,-170100000,351700000,0,-3420000000,-2007200000,0,-199700000,-290400000,4104500000,1607200000,85300000,-980000000,747500000,-90600000,656900000
MCO,2016,2016,FY,275800000,126700000,-154700000,98100000,949900000,-104800000,0,0,1054700000,-69700000,1226100000,-115200000,-79300000,-406800000,703300000,0,102000000,0,0,-738800000,-285100000,14100000,-1009800000,-24200000,294100000,1226100000,-115200000,1110900000
MCO,2015,2015,FY,949600000,113500000,11700000,87200000,36100000,-25400000,0,0,61500000,-44500000,1153600000,-89000000,-7600000,-688200000,692800000,0,-92000000,0,0,-1098100000,-272100000,909200000,-461000000,-62700000,537900000,1153600000,-89000000,1064600000
MCO,2014,2014,FY,1006000000,95600000,23500000,80400000,-25400000,-98300000,0,0,72900000,-161500000,1018600000,-74600000,-239700000,-406800000,156200000,0,-564900000,-300000000,0,-1220500000,-236000000,692000000,-1064500000,-89200000,-700000000,1018600000,-74600000,944000000
MCO,2013,2013,FY,815900000,93400000,-46400000,67100000,35600000,-67000000,0,0,102600000,-38800000,926800000,-42300000,-50700000,-225900000,57000000,0,-261900000,-63800000,0,-893100000,-197300000,655400000,-498800000,-2000000,164100000,926800000,-42300000,884500000
MCO,2012,2012,FY,699700000,93500000,23300000,64500000,-54400000,-128200000,0,0,73800000,-3500000,823100000,-45000000,-3500000,-56200000,54500000,0,-50200000,-71300000,0,-196500000,-143000000,613400000,202600000,19900000,995400000,823100000,-45000000,778100000
MCO,2011,2011,FY,578000000,79200000,10300000,56700000,92900000,17100000,0,0,75800000,-13800000,803300000,-67700000,-197500000,-43300000,40900000,0,-267600000,0,0,-333800000,-126100000,42200000,-417700000,-17600000,100400000,803300000,-67700000,735600000
MCO,2010,2010,FY,513400000,66300000,-10600000,56600000,34600000,-54400000,0,0,89000000,-7000000,653300000,-79000000,-148600000,-26200000,25000000,0,-228800000,-2935700000,0,-223600000,-103400000,3021400000,-241300000,2500000,185700000,653300000,-79000000,574300000
MCO,2009,2009,FY,407100000,64100000,16500000,57400000,103700000,-14900000,0,0,118600000,-5000000,643800000,-90700000,-900000,-17600000,15400000,0,-93800000,-13762900000,0,0,-98200000,13512300000,-348800000,26800000,228000000,643800000,-90700000,553100000
MCO,2008,2008,FY,457600000,75100000,-17300000,0,-28600000,0,0,0,-28600000,47900000,534700000,-84400000,-241400000,-10300000,15900000,900000,-319300000,0,23500000,-592900000,-96800000,321400000,-344800000,-51000000,-180400000,534700000,-84400000,450300000
MCO,2007,2007,FY,701500000,42900000,-76400000,0,323300000,0,0,0,323300000,-7300000,984000000,-181800000,-4400000,-191400000,252900000,0,-124700000,0,65900000,-1738400000,-85200000,896200000,-861500000,20400000,18200000,984000000,-181800000,802200000
MCO,2006,2006,FY,753900000,39500000,-27200000,0,171800000,0,0,0,171800000,-185500000,752500000,-31100000,-39200000,-414000000,436500000,163900000,116100000,0,105300000,-1093600000,-79500000,102600000,-965200000,18700000,-77900000,752500000,-31100000,721400000
MCO,2005,2005,FY,560800000,35200000,-20200000,0,4900000,0,0,0,4900000,127200000,707900000,-31300000,-30000000,-324400000,235500000,-200000,-150400000,0,89100000,-691700000,-60300000,-3600000,-666500000,-11100000,-120100000,707900000,-31300000,676600000
