TICKER,YEAR,CALENDAR_YEAR,PERIOD,NET_INCOME,DEPRECIATION_AND_AMORTIZATION,DEFERRED_INCOME_TAX,STOCK_BASED_COMPENSATION,CHANGE_IN_WORKING_CAPITAL,ACCOUNTS_RECEIVABLES,INVENTORY,ACCOUNTS_PAYABLES,OTHER_WORKING_CAPITAL,OTHER_NON_CASH_ITEMS,NET_OPERATING_ACTIVITIES,INVESTMENTS_IN_PROPERTY_PLANT_AND_EQUIPMENT,ACQUISITIONS,PURCHASES_OF_INVESTMENTS,SALES_OF_INVESTMENTS,OTHER_INVESTING_ACTIVITES,NET_INVESTING_ACTIVITES,DEBT_PAYMENT,COMMON_STOCK_ISSUED,COMMON_STOCK_REPURCHASED,DIVIDENDS_PAID,OTHER_FINANCING_ACTIVITES,NET_FINANCING_ACTIVITIES,FOREX_CHANGE,NET_CHANGE_IN_CASH,OPERATING_CASH_FLOW,CAPITAL_EXPENDITURE,FREE_CASH_FLOW
PG,2022,2022,FY,14793000000,2807000000,-402000000,528000000,-1147000000,-694000000,-1247000000,1429000000,-635000000,144000000,16723000000,-3156000000,-1381000000,0,3000000,110000000,-4424000000,-13821000000,0,-10003000000,-8770000000,17718000000,-14876000000,-497000000,-3074000000,16723000000,-3156000000,13567000000
PG,2021,2021,FY,14352000000,2735000000,-258000000,540000000,371000000,-342000000,-309000000,1391000000,-369000000,631000000,18371000000,-2787000000,-34000000,-55000000,0,-2745000000,-2834000000,-4987000000,0,-11009000000,-8263000000,2728000000,-21531000000,101000000,-5893000000,18371000000,-2787000000,15584000000
PG,2020,2020,FY,13103000000,3013000000,-596000000,558000000,1210000000,634000000,-637000000,1923000000,-710000000,115000000,17403000000,-3073000000,-58000000,-5000000,6151000000,-3043000000,3045000000,-2447000000,0,-7405000000,-7789000000,9274000000,-8367000000,-139000000,11942000000,17403000000,-3073000000,14330000000
PG,2019,2019,FY,3966000000,2824000000,-411000000,515000000,368000000,-276000000,-239000000,1856000000,-973000000,7980000000,15242000000,-3347000000,-3945000000,-220000000,3628000000,-2953000000,-3490000000,-969000000,0,-5003000000,-7498000000,3476000000,-9994000000,-88000000,1670000000,15242000000,-3347000000,11895000000
PG,2018,2018,FY,9750000000,2834000000,-1844000000,395000000,3020000000,-177000000,-188000000,0,2000000000,712000000,14867000000,-3717000000,-109000000,-3909000000,3955000000,269000000,-3511000000,-2873000000,0,-7004000000,-7310000000,2812000000,-14375000000,19000000,-3000000000,14867000000,-3717000000,11150000000
PG,2017,2017,FY,15326000000,2820000000,-601000000,351000000,-443000000,-322000000,71000000,0,-43000000,-4700000000,12753000000,-3384000000,-491000000,-4869000000,1488000000,1567000000,-5689000000,-4931000000,0,-5204000000,-7236000000,8803000000,-8568000000,-29000000,-1533000000,12753000000,-3384000000,9369000000
PG,2016,2016,FY,10508000000,3078000000,-815000000,335000000,1640000000,35000000,116000000,0,204000000,689000000,15435000000,-3314000000,-1182000000,-2815000000,1447000000,289000000,-5575000000,-2213000000,0,-5734000000,-7436000000,6170000000,-9213000000,-381000000,266000000,15435000000,-3314000000,12121000000
PG,2015,2015,FY,7036000000,3134000000,-803000000,337000000,614000000,349000000,313000000,0,-976000000,4290000000,14608000000,-3736000000,-137000000,-3810000000,1203000000,3589000000,-2891000000,-3512000000,0,-4604000000,-7287000000,2384000000,-13019000000,-411000000,-1713000000,14608000000,-3736000000,10872000000
PG,2014,2014,FY,11643000000,3141000000,-44000000,360000000,-1461000000,87000000,8000000,0,-1557000000,319000000,13958000000,-3848000000,-24000000,-829000000,24000000,570000000,-4107000000,-4095000000,0,-6005000000,-6911000000,9732000000,-7279000000,39000000,2611000000,13958000000,-3848000000,10110000000
PG,2013,2013,FY,11312000000,2982000000,-307000000,346000000,681000000,-415000000,-225000000,0,68000000,-141000000,14873000000,-4008000000,-1145000000,-1726000000,0,584000000,-6295000000,-3752000000,0,-5986000000,-6519000000,9186000000,-7071000000,4000000,1511000000,14873000000,-4008000000,10865000000
PG,2012,2012,FY,10756000000,3204000000,-65000000,377000000,-816000000,-427000000,77000000,0,-444000000,-172000000,13284000000,-3964000000,-134000000,0,112000000,2893000000,-1093000000,-2549000000,0,-4024000000,-6139000000,2302000000,-10410000000,-113000000,1668000000,13284000000,-3964000000,9320000000
PG,2011,2011,FY,11797000000,2838000000,128000000,414000000,-1759000000,-426000000,-501000000,0,-1190000000,-187000000,13231000000,-3306000000,-474000000,0,0,298000000,-3482000000,-55000000,0,-7039000000,-5767000000,2838000000,-10023000000,163000000,-111000000,13231000000,-3306000000,9925000000
PG,2010,2010,FY,12736000000,3108000000,36000000,453000000,2213000000,-14000000,86000000,0,-305000000,-2474000000,16072000000,-3067000000,-425000000,-173000000,0,3068000000,-597000000,-10344000000,0,-6004000000,-5458000000,4551000000,-17255000000,-122000000,-1902000000,16072000000,-3067000000,13005000000
PG,2009,2009,FY,13436000000,3082000000,596000000,516000000,-364000000,415000000,721000000,0,-758000000,-2347000000,14919000000,-3238000000,-368000000,0,166000000,1087000000,-2353000000,-5007000000,0,-6370000000,-5044000000,5607000000,-10814000000,-284000000,1468000000,14919000000,-3238000000,11681000000
PG,2008,2008,FY,12075000000,3166000000,1214000000,0,-1723000000,0,-1050000000,0,-1239000000,1082000000,15814000000,-3046000000,-381000000,-50000000,0,928000000,-2549000000,0,1867000000,-10047000000,-4655000000,-2815000000,-15650000000,344000000,-2041000000,15814000000,-3046000000,12768000000
PG,2007,2007,FY,10340000000,3130000000,253000000,0,-1548000000,0,-389000000,0,-157000000,1260000000,13435000000,-2945000000,-492000000,0,673000000,281000000,-2483000000,0,1499000000,-5578000000,-4209000000,-4190000000,-12478000000,187000000,-1339000000,13435000000,-2945000000,10490000000
PG,2006,2006,FY,8684000000,2627000000,-112000000,0,-409000000,0,383000000,0,-498000000,585000000,11375000000,-2667000000,171000000,0,884000000,882000000,-730000000,0,1319000000,-16830000000,-3703000000,8636000000,-10578000000,237000000,304000000,11375000000,-2667000000,8708000000
PG,2005,2005,FY,7257000000,1884000000,650000000,0,-1356000000,0,-644000000,0,-498000000,287000000,8722000000,-2181000000,-572000000,-100000000,0,517000000,-2336000000,0,478000000,-5026000000,-2731000000,3111000000,-4168000000,-61000000,2157000000,8722000000,-2181000000,6541000000
PG,2004,2004,FY,6481000000,1733000000,415000000,0,434000000,0,56000000,0,-88000000,299000000,9362000000,-2024000000,0,-121000000,0,-7246000000,-9391000000,0,555000000,-4070000000,-2539000000,5686000000,-368000000,-46000000,-443000000,9362000000,-2024000000,7338000000
PG,2003,2003,FY,5186000000,1703000000,63000000,0,1221000000,0,-56000000,0,178000000,527000000,8700000000,-1482000000,0,-107000000,0,82000000,-1507000000,0,269000000,-1236000000,-2246000000,-1882000000,-5095000000,387000000,2485000000,8700000000,-1482000000,7218000000
