TICKER,YEAR,CALENDAR_YEAR,PERIOD,NET_INCOME,DEPRECIATION_AND_AMORTIZATION,DEFERRED_INCOME_TAX,STOCK_BASED_COMPENSATION,CHANGE_IN_WORKING_CAPITAL,ACCOUNTS_RECEIVABLES,INVENTORY,ACCOUNTS_PAYABLES,OTHER_WORKING_CAPITAL,OTHER_NON_CASH_ITEMS,NET_OPERATING_ACTIVITIES,INVESTMENTS_IN_PROPERTY_PLANT_AND_EQUIPMENT,ACQUISITIONS,PURCHASES_OF_INVESTMENTS,SALES_OF_INVESTMENTS,OTHER_INVESTING_ACTIVITES,NET_INVESTING_ACTIVITES,DEBT_PAYMENT,COMMON_STOCK_ISSUED,COMMON_STOCK_REPURCHASED,DIVIDENDS_PAID,OTHER_FINANCING_ACTIVITES,NET_FINANCING_ACTIVITIES,FOREX_CHANGE,NET_CHANGE_IN_CASH,OPERATING_CASH_FLOW,CAPITAL_EXPENDITURE,FREE_CASH_FLOW
VZ,2022,2022,FY,21748000000,17099000000,2973000000,0,-456000000,-1978000000,627000000,-33000000,928000000,-4223000000,37141000000,-26740000000,281000000,-2265000000,0,62000000,-28662000000,-13564000000,0,0,-10805000000,15840000000,-8529000000,0,-50000000,37141000000,-26740000000,10401000000
VZ,2021,2021,FY,22618000000,16206000000,4264000000,0,-890000000,-1592000000,-905000000,1457000000,150000000,-2659000000,39539000000,-67882000000,57000000,0,0,672000000,-67153000000,-18863000000,0,0,-10445000000,37585000000,8277000000,0,-19337000000,39539000000,-67882000000,-28343000000
VZ,2020,2020,FY,18348000000,16720000000,1553000000,0,56000000,189000000,-369000000,-966000000,1202000000,5091000000,41768000000,-20318000000,-520000000,0,0,-22992000000,-23512000000,-17188000000,0,0,-10232000000,28745000000,1325000000,0,19581000000,41768000000,-20318000000,21450000000
VZ,2019,2019,FY,19788000000,16682000000,1232000000,0,-6713000000,-1471000000,-76000000,-2359000000,-2807000000,4757000000,35746000000,-18837000000,-1000000,0,0,-17580000000,-17581000000,-23886000000,0,0,-10016000000,15738000000,-18164000000,0,1000000,35746000000,-18837000000,16909000000
VZ,2018,2018,FY,15528000000,17403000000,389000000,0,-1177000000,-2667000000,-324000000,0,-3294000000,2196000000,34339000000,0,-230000000,0,0,-17704000000,-17934000000,-14558000000,0,0,-9772000000,8953000000,-15377000000,0,1028000000,34339000000,-18087000000,16252000000
VZ,2017,2017,FY,30101000000,16954000000,-14463000000,0,-4947000000,-5436000000,168000000,0,-3124000000,-2340000000,25305000000,0,-2314000000,0,0,-17058000000,-19372000000,-24407000000,0,0,-9472000000,27145000000,-6734000000,0,-801000000,25305000000,-17830000000,7475000000
VZ,2016,2016,FY,13127000000,15928000000,-1063000000,0,-5636000000,-5067000000,61000000,0,-3945000000,359000000,22715000000,0,6117000000,0,0,-17100000000,-10983000000,-19308000000,3000000,0,-9262000000,15245000000,-13322000000,0,-1590000000,22715000000,-17593000000,5122000000
VZ,2015,2015,FY,17879000000,16017000000,3516000000,0,2443000000,-945000000,-99000000,0,-12772000000,-925000000,38930000000,0,-3497000000,0,0,-26546000000,-30043000000,-9684000000,40000000,-5134000000,-8538000000,8301000000,-15015000000,0,-6128000000,38930000000,-27717000000,11213000000
VZ,2014,2014,FY,9625000000,16533000000,-92000000,0,-2160000000,-2745000000,-132000000,0,1559000000,6725000000,30631000000,0,-62000000,0,0,-15794000000,-15856000000,-18144000000,34000000,0,-7803000000,-31792000000,-57705000000,0,-42930000000,30631000000,-17545000000,13086000000
VZ,2013,2013,FY,11497000000,16606000000,5785000000,0,-5000000,-843000000,56000000,0,43944000000,4935000000,38818000000,0,-494000000,0,0,-14339000000,-14833000000,-8305000000,85000000,-153000000,-5936000000,40759000000,26450000000,0,50435000000,38818000000,-17184000000,21634000000
