TICKER,YEAR,CALENDAR_YEAR,PERIOD,REVENUE,COST_OF_REVENUE,GROSS_PROFIT,GROSS_PROFIT_RATIO,RESEARCH_AND_DEVELOPMENT_EXPENSES,GENERAL_AND_ADMINISTRATIVE_EXPENSES,SELLING_AND_MARKETING_EXPENSES,SELLING_GENERAL_AND_ADMINISTRATIVE_EXPENSES,OTHER_EXPENSES,OPERATING_EXPENSES,COST_AND_EXPENSES,INTEREST_INCOME,INTEREST_EXPENSE,DEPRECIATION_AND_AMORTIZATION,EBITDA_EARNINGS_BEFORE_INTEREST_TAX_DEPRECATION_AND_AMORITZATION,EBITDA_RATIO,OPERATING_INCOME,OPERATING_INCOME_RATIO,OTHER_INCOME_EXPENSES,INCOME_BEFORE_TAX,INCOME_BEFORE_TAX_RATIO,INCOME_TAX_EXPENSE,NET_INCOME,NET_INCOME_RATIO,EPS_EARNINGS_PER_SHARE,EPS_EARNINGS_PER_SHARE_DILUTED,WEIGHTED_AVERAGE_SHARES_OUTSTANDING,WEIGHTED_AVERAGE_SHARES_OUTSTANDING_DILUTED
AAPL,2022,2022,FY,394328000000,223546000000,170782000000,0.4330963056,26251000000,0,0,25094000000,0,51345000000,274891000000,2825000000,2931000000,11104000000,130541000000,0.3310467428,119437000000,0.302887444,-334000000,119103000000,0.3020404333,19300000000,99803000000,0.2530964071,6.15,6.11,16215963000,16325819000
AAPL,2021,2021,FY,365817000000,212981000000,152836000000,0.4177935963,21914000000,0,0,21973000000,0,43887000000,256868000000,2843000000,2645000000,11284000000,120233000000,0.3286697994,108949000000,0.2978237753,258000000,109207000000,0.2985290459,14527000000,94680000000,0.2588179336,5.67,5.61,16701272000,16864919000
AAPL,2020,2020,FY,274515000000,169559000000,104956000000,0.3823324773,18752000000,0,0,19916000000,0,38668000000,208227000000,3763000000,2873000000,11056000000,77344000000,0.2817478098,66288000000,0.2414731435,803000000,67091000000,0.2443983025,9680000000,57411000000,0.2091361128,3.31,3.28,17352119000,17528214000
AAPL,2019,2019,FY,260174000000,161782000000,98392000000,0.3781776811,16217000000,0,0,18245000000,0,34462000000,196244000000,4961000000,3576000000,12547000000,76477000000,0.2939455903,63930000000,0.2457201719,1807000000,65737000000,0.2526655238,10481000000,55256000000,0.2123809451,2.99,2.97,18471336000,18595652000
AAPL,2018,2018,FY,265595000000,163756000000,101839000000,0.3834371882,14236000000,0,0,16705000000,0,30941000000,194697000000,5686000000,3240000000,10903000000,81801000000,0.3079914908,70898000000,0.2669402662,2005000000,72903000000,0.2744893541,13372000000,59531000000,0.2241420207,3.0,2.98,19821508000,20000436000
AAPL,2017,2017,FY,229234000000,141048000000,88186000000,0.3846986049,11581000000,0,0,15261000000,0,26842000000,167890000000,5201000000,2323000000,10157000000,71501000000,0.311912718,61344000000,0.2676042821,2745000000,64089000000,0.2795789455,15738000000,48351000000,0.2109242085,2.32,2.3,20868968000,21006768000
AAPL,2016,2016,FY,215639000000,131376000000,84263000000,0.3907595565,10045000000,0,0,14194000000,0,24239000000,155615000000,3999000000,1456000000,10505000000,70529000000,0.3270697787,60024000000,0.2783541011,1348000000,61372000000,0.2846052894,15685000000,45687000000,0.2118679831,2.09,2.08,21883280000,22001124000
AAPL,2015,2015,FY,233715000000,140089000000,93626000000,0.4005990202,8067000000,0,0,14329000000,0,22396000000,162485000000,2921000000,733000000,11257000000,82487000000,0.3529384079,71230000000,0.3047729072,1285000000,72515000000,0.3102710566,19121000000,53394000000,0.228457737,2.32,2.31,23013684000,23172276000
AAPL,2014,2014,FY,182795000000,112258000000,70537000000,0.3858803578,6041000000,0,0,11993000000,0,18034000000,130292000000,1795000000,384000000,9310000000,61813000000,0.3381547635,52503000000,0.2872233923,980000000,53483000000,0.2925845893,13973000000,39510000000,0.2161437676,1.62,1.61,24342288000,24490652000
AAPL,2013,2013,FY,170910000000,106606000000,64304000000,0.3762448072,4475000000,0,0,10830000000,0,15305000000,121911000000,1616000000,136000000,6757000000,55756000000,0.3262301796,48999000000,0.2866947516,1156000000,50155000000,0.2934585454,13118000000,37037000000,0.2167046984,1.43,1.42,25909268000,26086536000
