TICKER,YEAR,CALENDAR_YEAR,PERIOD,REVENUE,COST_OF_REVENUE,GROSS_PROFIT,GROSS_PROFIT_RATIO,RESEARCH_AND_DEVELOPMENT_EXPENSES,GENERAL_AND_ADMINISTRATIVE_EXPENSES,SELLING_AND_MARKETING_EXPENSES,SELLING_GENERAL_AND_ADMINISTRATIVE_EXPENSES,OTHER_EXPENSES,OPERATING_EXPENSES,COST_AND_EXPENSES,INTEREST_INCOME,INTEREST_EXPENSE,DEPRECIATION_AND_AMORTIZATION,EBITDA_EARNINGS_BEFORE_INTEREST_TAX_DEPRECATION_AND_AMORITZATION,EBITDA_RATIO,OPERATING_INCOME,OPERATING_INCOME_RATIO,OTHER_INCOME_EXPENSES,INCOME_BEFORE_TAX,INCOME_BEFORE_TAX_RATIO,INCOME_TAX_EXPENSE,NET_INCOME,NET_INCOME_RATIO,EPS_EARNINGS_PER_SHARE,EPS_EARNINGS_PER_SHARE_DILUTED,WEIGHTED_AVERAGE_SHARES_OUTSTANDING,WEIGHTED_AVERAGE_SHARES_OUTSTANDING_DILUTED
AXP,2022,2022,FY,302000000,0,302000000,1.0,0,7252000000,5458000000,12710000000,0,12710000000,12710000000,12658000000,2763000000,1626000000,13974000000,46.2715231788,12348000000,40.8874172185,-2763000000,9585000000,31.738410596,2071000000,7514000000,24.880794702,9.86,9.85,751000000,752000000
AXP,2021,2021,FY,-767000000,0,-767000000,1.0,0,6240000000,9053000000,15293000000,0,15293000000,15293000000,9033000000,1283000000,1695000000,13667000000,-17.8187744459,11972000000,-15.6088657106,-1283000000,10689000000,-13.9361147327,2629000000,8060000000,-10.5084745763,10.04,10.02,789000000,790000000
AXP,2020,2020,FY,36087000000,0,36087000000,1.0,0,5718000000,6747000000,12465000000,0,0,0,10083000000,2098000000,1543000000,7937000000,0.2199406989,6394000000,0.1771829191,-2098000000,4296000000,0.1190456397,1161000000,3135000000,0.0868733893,3.77,3.77,805000000,806000000
AXP,2019,2019,FY,43556000000,0,43556000000,1.0,0,5911000000,7114000000,13025000000,0,0,0,12084000000,3464000000,1188000000,13081000000,0.3003260171,11893000000,0.2730507852,-3464000000,8429000000,0.1935209845,1670000000,6759000000,0.155179539,8.0,7.99,828000000,830000000
AXP,2018,2018,FY,40315000000,0,40315000000,0.0,0,5250000000,6470000000,11720000000,0,11720000000,0,10606000000,2943000000,1293000000,12358000000,0.3065360287734094,0,0.0,8122000000,8122000000,0.20146347513332508,1201000000,6921000000,0.17167307453801314,7.93,7.91,856000000,859000000
AXP,2017,2017,FY,33471000000,0,33471000000,0.0,0,5258000000,3217000000,8475000000,0,8475000000,0,8553000000,2112000000,1321000000,10847000000,0.3240715843566072,0,0.0,7414000000,7414000000,0.22150518359176602,4678000000,2736000000,0.08174240387200861,2.98,2.97,883000000,886000000
AXP,2016,2016,FY,33337000000,0,33337000000,0.0,0,5259000000,3650000000,8909000000,0,8909000000,0,7475000000,1704000000,1095000000,10895000000,0.32681405045445,0,0.0,8096000000,8096000000,0.24285328613852475,2688000000,5408000000,0.16222215556288808,5.67,5.65,933000000,935000000
AXP,2015,2015,FY,32757000000,0,32757000000,0.0,0,4976000000,3109000000,8085000000,0,8085000000,0,7545000000,1623000000,1043000000,10604000000,0.32371706810758005,0,0.0,7938000000,7938000000,0.2423298836889825,2775000000,5163000000,0.1576151662240132,5.07,5.05,999000000,1003000000
AXP,2014,2014,FY,33548000000,0,33548000000,0.0,0,6095000000,11073000000,17168000000,0,17168000000,0,7179000000,1707000000,1012000000,11710000000,0.349052104447359,0,0.0,8991000000,8991000000,0.26800405389292953,3106000000,5885000000,0.17542029331107667,5.58,5.56,1045000000,1051000000
AXP,2013,2013,FY,32970000000,0,32970000000,0.0,0,6191000000,10267000000,16458000000,0,16458000000,0,7005000000,1958000000,1020000000,10866000000,0.32957233848953593,0,0.0,7888000000,7888000000,0.23924780103124052,2529000000,5359000000,0.16254170457992115,4.91,4.88,1082000000,1089000000
