TICKER,YEAR,CALENDAR_YEAR,PERIOD,REVENUE,COST_OF_REVENUE,GROSS_PROFIT,GROSS_PROFIT_RATIO,RESEARCH_AND_DEVELOPMENT_EXPENSES,GENERAL_AND_ADMINISTRATIVE_EXPENSES,SELLING_AND_MARKETING_EXPENSES,SELLING_GENERAL_AND_ADMINISTRATIVE_EXPENSES,OTHER_EXPENSES,OPERATING_EXPENSES,COST_AND_EXPENSES,INTEREST_INCOME,INTEREST_EXPENSE,DEPRECIATION_AND_AMORTIZATION,EBITDA_EARNINGS_BEFORE_INTEREST_TAX_DEPRECATION_AND_AMORITZATION,EBITDA_RATIO,OPERATING_INCOME,OPERATING_INCOME_RATIO,OTHER_INCOME_EXPENSES,INCOME_BEFORE_TAX,INCOME_BEFORE_TAX_RATIO,INCOME_TAX_EXPENSE,NET_INCOME,NET_INCOME_RATIO,EPS_EARNINGS_PER_SHARE,EPS_EARNINGS_PER_SHARE_DILUTED,WEIGHTED_AVERAGE_SHARES_OUTSTANDING,WEIGHTED_AVERAGE_SHARES_OUTSTANDING_DILUTED
JNJ,2023,2022,FY,94943000000,31089000000,63854000000,0.672550899,15386000000,0,0,24765000000,0,40151000000,71240000000,490000000,276000000,6970000000,24024000000,0.2530360321,17054000000,0.1796235636,4671000000,21725000000,0.2288215034,3784000000,17941000000,0.1889660112,6.86,6.73,2613597000,2663900000
JNJ,2022,2021,FY,93775000000,29855000000,63920000000,0.6816315649,14714000000,0,0,24659000000,0,39373000000,69228000000,53000000,183000000,7390000000,25699000000,0.2740495868,18309000000,0.195243935,4467000000,22776000000,0.2428792322,1898000000,20878000000,0.2226392962,7.93,7.81,2632100000,2674000000
JNJ,2021,2020,FY,82584000000,28427000000,54157000000,0.6557807808,12159000000,0,0,22084000000,0,34243000000,62670000000,111000000,201000000,7231000000,20342000000,0.2463188995,13111000000,0.158759566,3386000000,16497000000,0.1997602441,1783000000,14714000000,0.1781701056,5.59,5.51,2632800000,2670700000
JNJ,2019,2019,FY,82059000000,27556000000,54503000000,0.6641928369,11355000000,0,0,22178000000,0,33533000000,61089000000,357000000,318000000,7009000000,22126000000,0.2696352624,15117000000,0.1842211092,2211000000,17328000000,0.2111651373,2209000000,15119000000,0.1842454819,5.74,5.63,2632507000,2684300000
JNJ,2018,2018,FY,81581000000,26986000000,54595000000,0.6692121940157635,10775000000,0,22540000000,22540000000,3281000000,36596000000,63582000000,611000000,1005000000,6929000000,25933000000,0.3178803888160233,21175000000,0.2595579853152082,-3176000000,17999000000,0.22062735195695077,2702000000,15297000000,0.18750689498780354,5.745732,5.61,2662324000,2728700000
JNJ,2017,2016,FY,71890000000,21640000000,50250000000,0.6989845597440534,9095000000,0,19945000000,19945000000,1407000000,30447000000,52087000000,368000000,726000000,3754000000,24283000000,0.3377799415774099,21165000000,0.2944081235220476,-1362000000,19803000000,0.2754625121713729,3263000000,16540000000,0.23007372374460983,6.079694,5.93,2706511000,2788900000
JNJ,2016,2015,FY,70074000000,21455000000,48619000000,0.6938236721180466,9047000000,0,21203000000,21203000000,-827000000,29423000000,50878000000,128000000,552000000,3746000000,23494000000,0.33527413876758855,18289000000,0.26099551902274737,907000000,19196000000,0.2739389787938465,3787000000,15409000000,0.21989610982675456,5.568961,5.48,2755162000,2812900000
JNJ,2014,2014,FY,74331000000,22746000000,51585000000,0.6939903943173104,8494000000,0,21954000000,21954000000,574000000,31022000000,53768000000,67000000,533000000,3895000000,24991000000,0.3362123474727906,21137000000,0.2843631862883588,-574000000,20563000000,0.27664097079280514,4240000000,16323000000,0.21959882148767002,5.864783,5.7,2783223000,2863900000
JNJ,2013,2013,FY,71312000000,21659000000,49653000000,0.6962783262284048,8187000000,0,21830000000,21830000000,4165000000,34182000000,55841000000,74000000,482000000,4104000000,20057000000,0.28125701144267445,18957000000,0.2658318375588961,-3486000000,15471000000,0.21694805923266772,1640000000,13831000000,0.19395052726048911,4.903518,4.81,2820628000,2877000000
JNJ,2012,2011,FY,65030000000,20273000000,44757000000,0.6882515761956021,7548000000,0,20969000000,20969000000,3879000000,32396000000,52669000000,91000000,571000000,3158000000,16090000000,0.24742426572351223,16153000000,0.248393049361833,-3792000000,12361000000,0.1900815008457635,2689000000,9672000000,0.14873135475934185,3.541756,3.49,2724363000,2775300000
